,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.3120097388,0.0000000000,-5.2768509770,1.5000000000,1.5000000000,3.46801460823175j,0.0000000000,-5.2768509770,3.0000000000,3.0000000000,6.9360292164635j
1,-2.3120097388,0.0500000000,-5.2759103084,1.4995515962,1.4995515962,3.46697789420094j,0.0353553391,-5.2759103084,2.9991031923,2.9991031923,6.93395578840188j
2,-2.3120097388,0.1000000000,-5.2730992168,1.4982101982,1.4982101982,3.4638765690036712j,0.0707106781,-5.2730992168,2.9964203964,2.9964203964,6.9277531380073425j
3,-2.3120097388,0.1500000000,-5.2684237165,1.4959745302,1.4959745302,3.4587076828586927j,0.1060660172,-5.2684237165,2.9919490604,2.9919490604,6.917415365717385j
4,-2.3120097388,0.2000000000,-5.2618938067,1.4928424763,1.4928424763,3.4514663438436295j,0.1414213562,-5.2618938067,2.9856849527,2.9856849527,6.902932687687259j
5,-2.3120097388,0.2500000000,-5.2535148724,1.4888068376,1.4888068376,3.4421359077156746j,0.1767766953,-5.2535148724,2.9776136752,2.9776136752,6.884271815431349j
6,-2.3120097388,0.3000000000,-5.2433135617,1.4838680287,1.4838680287,3.4307173335795187j,0.2121320344,-5.2433135617,2.9677360575,2.9677360575,6.861434667159037j
7,-2.3120097388,0.3500000000,-5.2313118805,1.4780215228,1.4780215228,3.4172001549231554j,0.2474873734,-5.2313118805,2.9560430456,2.9560430456,6.834400309846311j
8,-2.3120097388,0.4000000000,-5.2175356764,1.4712619887,1.4712619887,3.4015720463395187j,0.2828427125,-5.2175356764,2.9425239775,2.9425239775,6.803144092679037j
9,-2.3120097388,0.4500000000,-5.2020066901,1.4635790402,1.4635790402,3.3838089945408933j,0.3181980515,-5.2020066901,2.9271580805,2.9271580805,6.767617989081787j
10,-2.3120097388,0.5000000000,-5.1847667079,1.4549701001,1.4549701001,3.3639050412259692j,0.3535533906,-5.1847667079,2.9099402003,2.9099402003,6.7278100824519385j
11,-2.3120097388,0.5500000000,-5.1658533305,1.4454278409,1.4454278409,3.341843245006797j,0.3889087297,-5.1658533305,2.8908556819,2.8908556819,6.683686490013594j
12,-2.3120097388,0.6000000000,-5.1453077803,1.4349442816,1.4349442816,3.3176051538357245j,0.4242640687,-5.1453077803,2.8698885633,2.8698885633,6.635210307671449j
13,-2.3120097388,0.6500000000,-5.1231678618,1.4235065021,1.4235065021,3.2911608960550063j,0.4596194078,-5.1231678618,2.8470130041,2.8470130041,6.582321792110013j
14,-2.3120097388,0.7000000000,-5.0994895655,1.4111098349,1.4111098349,3.2624996808962545j,0.4949747468,-5.0994895655,2.8222196699,2.8222196699,6.524999361792509j
15,-2.3120097388,0.7500000000,-5.0743252906,1.3977451813,1.3977451813,3.2316004714819933j,0.5303300859,-5.0743252906,2.7954903625,2.7954903625,6.4632009429639865j
16,-2.3120097388,0.8000000000,-5.0477307294,1.3834031323,1.3834031323,3.1984415145516447j,0.5656854249,-5.0477307294,2.7668062646,2.7668062646,6.396883029103289j
17,-2.3120097388,0.8500000000,-5.0197589582,1.3680696563,1.3680696563,3.162990368835909j,0.6010407640,-5.0197589582,2.7361393127,2.7361393127,6.325980737671818j
18,-2.3120097388,0.9000000000,-4.9904787417,1.3517397148,1.3517397148,3.125235384937707j,0.6363961031,-4.9904787417,2.7034794296,2.7034794296,6.250470769875414j
19,-2.3120097388,0.9500000000,-4.9599558941,1.3344043983,1.3344043983,3.0851559644167317j,0.6717514421,-4.9599558941,2.6688087966,2.6688087966,6.170311928833463j
20,-2.3120097388,1.0000000000,-4.9282590345,1.3160551197,1.3160551197,3.0427322536758568j,0.7071067812,-4.9282590345,2.6321102395,2.6321102395,6.0854645073517135j
21,-2.3120097388,1.0500000000,-4.8954549773,1.2966793248,1.2966793248,2.997935227175915j,0.7424621202,-4.8954549773,2.5933586497,2.5933586497,5.99587045435183j
22,-2.3120097388,1.1000000000,-4.8616230933,1.2762745021,1.2762745021,2.9507590783202273j,0.7778174593,-4.8616230933,2.5525490042,2.5525490042,5.901518156640455j
23,-2.3120097388,1.1500000000,-4.8268403747,1.2548351851,1.2548351851,2.901191168591366j,0.8131727984,-4.8268403747,2.5096703702,2.5096703702,5.802382337182732j
24,-2.3120097388,1.2000000000,-4.7911858986,1.2323572185,1.2323572185,2.849221890894102j,0.8485281374,-4.7911858986,2.4647144370,2.4647144370,5.698443781788204j
25,-2.3120097388,1.2500000000,-4.7547376286,1.2088335924,1.2088335924,2.794835038187763j,0.8838834765,-4.7547376286,2.4176671848,2.4176671848,5.589670076375526j
26,-2.3120097388,1.3000000000,-4.7175823383,1.1842686072,1.1842686072,2.738040553207778j,0.9192388155,-4.7175823383,2.3685372144,2.3685372144,5.476081106415556j
27,-2.3120097388,1.3500000000,-4.6798047972,1.1586649237,1.1586649237,2.67884458753121j,0.9545941546,-4.6798047972,2.3173298473,2.3173298473,5.35768917506242j
28,-2.3120097388,1.4000000000,-4.6414908394,1.1320278264,1.1320278264,2.6172593592264466j,0.9899494937,-4.6414908394,2.2640556528,2.2640556528,5.234518718452893j
29,-2.3120097388,1.4500000000,-4.6027256137,1.1043613266,1.1043613266,2.5532941423011697j,1.0253048327,-4.6027256137,2.2087226532,2.2087226532,5.106588284602339j
30,-2.3120097388,1.5000000000,-4.5635987985,1.0756819473,1.0756819473,2.4869871379652766j,1.0606601718,-4.5635987985,2.1513638945,2.1513638945,4.973974275930553j
31,-2.3120097388,1.5500000000,-4.5241981344,1.0460061741,1.0460061741,2.4183764613872376j,1.0960155108,-4.5241981344,2.0920123482,2.0920123482,4.836752922774475j
32,-2.3120097388,1.6000000000,-4.4846110778,1.0153545311,1.0153545311,2.347509564334076j,1.1313708499,-4.4846110778,2.0307090623,2.0307090623,4.695019128668152j
33,-2.3120097388,1.6500000000,-4.4449244576,0.9837481285,0.9837481285,2.2744352536150587j,1.1667261890,-4.4449244576,1.9674962570,1.9674962570,4.548870507230117j
34,-2.3120097388,1.7000000000,-4.4052250098,0.9512211920,0.9512211920,2.199232659661011j,1.2020815280,-4.4052250098,1.9024423840,1.9024423840,4.398465319322022j
35,-2.3120097388,1.7500000000,-4.3655972523,0.9178094637,0.9178094637,2.1219844185129806j,1.2374368671,-4.3655972523,1.8356189274,1.8356189274,4.243968837025961j
36,-2.3120097388,1.8000000000,-4.3261238084,0.8835537904,0.8835537904,2.0427849682492143j,1.2727922061,-4.3261238084,1.7671075809,1.7671075809,4.085569936498429j
37,-2.3120097388,1.8500000000,-4.2868863515,0.8484973077,0.8484973077,1.9617340388685196j,1.3081475452,-4.2868863515,1.6969946155,1.6969946155,3.923468077737039j
38,-2.3120097388,1.9000000000,-4.2479618486,0.8126955640,0.8126955640,1.8789600585969988j,1.3435028843,-4.2479618486,1.6253911279,1.6253911279,3.7579201171939975j
39,-2.3120097388,1.9500000000,-4.2094245129,0.7762066080,0.7762066080,1.7945972371273626j,1.3788582233,-4.2094245129,1.5524132161,1.5524132161,3.5891944742547253j
40,-2.3120097388,2.0000000000,-4.1713449994,0.7390937344,0.7390937344,1.7087919117554398j,1.4142135624,-4.1713449994,1.4781874687,1.4781874687,3.4175838235108795j
41,-2.3120097388,2.0500000000,-4.1337924410,0.7014235020,0.7014235020,1.6216979677491978j,1.4495689014,-4.1337924410,1.4028470041,1.4028470041,3.2433959354983957j
42,-2.3120097388,2.1000000000,-4.0968271823,0.6632722502,0.6632722502,1.53349190188454j,1.4849242405,-4.0968271823,1.3265445003,1.3265445003,3.06698380376908j
43,-2.3120097388,2.1500000000,-4.0605062537,0.6247187455,0.6247187455,1.444355823677567j,1.5202795796,-4.0605062537,1.2494374910,1.2494374910,2.888711647355134j
44,-2.3120097388,2.2000000000,-4.0248817481,0.5858457895,0.5858457895,1.354481170786815j,1.5556349186,-4.0248817481,1.1716915790,1.1716915790,2.70896234157363j
45,-2.3120097388,2.2500000000,-3.9900036858,0.5467392777,0.5467392777,1.26406653473644j,1.5909902577,-3.9900036858,1.0934785555,1.0934785555,2.52813306947288j
46,-2.3120097388,2.3000000000,-3.9559103378,0.5074901955,0.5074901955,1.1733222742923648j,1.6263455967,-3.9559103378,1.0149803909,1.0149803909,2.3466445485847296j
47,-2.3120097388,2.3500000000,-3.9226363907,0.4681906958,0.4681906958,1.0824614483997985j,1.6617009358,-3.9226363907,0.9363813917,0.9363813917,2.164922896799597j
48,-2.3120097388,2.4000000000,-3.8902108681,0.4289344677,0.4289344677,0.9917006667249707j,1.6970562748,-3.8902108681,0.8578689355,0.8578689355,1.9834013334499414j
49,-2.3120097388,2.4500000000,-3.8586605003,0.3898170276,0.3898170276,0.9012607641133029j,1.7324116139,-3.8586605003,0.7796340552,0.7796340552,1.8025215282266058j
50,-2.3120097388,2.5000000000,-3.8279989054,0.3509328926,0.3509328926,0.811360265408542j,1.7677669530,-3.8279989054,0.7018657852,0.7018657852,1.622720530817084j
51,-2.3120097388,2.5500000000,-3.7982363934,0.3123757339,0.3123757339,0.7222157389849825j,1.8031222920,-3.7982363934,0.6247514678,0.6247514678,1.444431477969965j
52,-2.3120097388,2.6000000000,-3.7693777773,0.2742376498,0.2742376498,0.6340401170398283j,1.8384776311,-3.7693777773,0.5484752996,0.5484752996,1.2680802340796566j
53,-2.3120097388,2.6500000000,-3.7414258878,0.2366107989,0.2366107989,0.5470464714455834j,1.8738329701,-3.7414258878,0.4732215979,0.4732215979,1.0940929428911668j
54,-2.3120097388,2.7000000000,-3.7143708323,0.1995801745,0.1995801745,0.4614313072102683j,1.9091883092,-3.7143708323,0.3991603491,0.3991603491,0.9228626144205366j
