,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-3.1054402532,0.0000000000,-7.0444638286,1.8000000000,1.8000000000,5.589792455728212j,0.0000000000,-7.0444638286,3.6000000000,3.6000000000,11.179584911456423j
1,-3.1054402532,0.0500000000,-7.0431136924,1.7994755124,1.7994755124,5.588163690926032j,0.0353553391,-7.0431136924,3.5989510249,3.5989510249,11.176327381852063j
2,-3.1054402532,0.1000000000,-7.0390668752,1.7979014424,1.7979014424,5.583275510528954j,0.0707106781,-7.0390668752,3.5958028848,3.5958028848,11.166551021057908j
3,-3.1054402532,0.1500000000,-7.0323318720,1.7952750832,1.7952750832,5.575119508812945j,0.1060660172,-7.0323318720,3.5905501663,3.5905501663,11.15023901762589j
4,-3.1054402532,0.2000000000,-7.0229228393,1.7915919184,1.7915919184,5.563681660637522j,0.1414213562,-7.0229228393,3.5831838368,3.5831838368,11.127363321275045j
5,-3.1054402532,0.2500000000,-7.0108595943,1.7868456146,1.7868456146,5.548942297818311j,0.1767766953,-7.0108595943,3.5736912292,3.5736912292,11.097884595636621j
6,-3.1054402532,0.3000000000,-6.9961676135,1.7810280119,1.7810280119,5.530876080311937j,0.2121320344,-6.9961676135,3.5620560239,3.5620560239,11.061752160623874j
7,-3.1054402532,0.3500000000,-6.9788780302,1.7741291145,1.7741291145,5.509451966539624j,0.2474873734,-6.9788780302,3.5482582290,3.5482582290,11.018903933079248j
8,-3.1054402532,0.4000000000,-6.9590276311,1.7661370825,1.7661370825,5.484633188502301j,0.2828427125,-6.9590276311,3.5322741649,3.5322741649,10.969266377004603j
9,-3.1054402532,0.4500000000,-6.9366588505,1.7570382277,1.7570382277,5.456377238726149j,0.3181980515,-6.9366588505,3.5140764554,3.5140764554,10.912754477452298j
10,-3.1054402532,0.5000000000,-6.9118197619,1.7468170164,1.7468170164,5.424635877526536j,0.3535533906,-6.9118197619,3.4936340327,3.4936340327,10.849271755053072j
11,-3.1054402532,0.5500000000,-6.8845640658,1.7354560807,1.7354560807,5.389355170587246j,0.3889087297,-6.8845640658,3.4709121614,3.4709121614,10.778710341174492j
12,-3.1054402532,0.6000000000,-6.8549510735,1.7229362448,1.7229362448,5.350475568409296j,0.4242640687,-6.8549510735,3.4458724897,3.4458724897,10.700951136818592j
13,-3.1054402532,0.6500000000,-6.8230456839,1.7092365681,1.7092365681,5.3079320407684865j,0.4596194078,-6.8230456839,3.4184731362,3.4184731362,10.615864081536973j
14,-3.1054402532,0.7000000000,-6.7889183535,1.6943344106,1.6943344106,5.2616542808993305j,0.4949747468,-6.7889183535,3.3886688211,3.3886688211,10.523308561798661j
15,-3.1054402532,0.7500000000,-6.7526450564,1.6782055267,1.6782055267,5.211566995648102j,0.5303300859,-6.7526450564,3.3564110533,3.3564110533,10.423133991296204j
16,-3.1054402532,0.8000000000,-6.7143072328,1.6608241920,1.6608241920,5.157590299245354j,0.5656854249,-6.7143072328,3.3216483840,3.3216483840,10.315180598490707j
17,-3.1054402532,0.8500000000,-6.6739917237,1.6421633694,1.6421633694,5.099640229556901j,0.6010407640,-6.6739917237,3.2843267387,3.2843267387,10.199280459113803j
18,-3.1054402532,0.9000000000,-6.6317906883,1.6221949211,1.6221949211,5.03762940658035j,0.6363961031,-6.6317906883,3.2443898423,3.2443898423,10.0752588131607j
19,-3.1054402532,0.9500000000,-6.5878015012,1.6008898733,1.6008898733,4.9714678534403225j,0.6717514421,-6.5878015012,3.2017797466,3.2017797466,9.942935706880645j
20,-3.1054402532,1.0000000000,-6.5421266262,1.5782187389,1.5782187389,4.901064000058047j,0.7071067812,-6.5421266262,3.1564374778,3.1564374778,9.802128000116094j
21,-3.1054402532,1.0500000000,-6.4948734624,1.5541519061,1.5541519061,4.826325888870334j,0.7424621202,-6.4948734624,3.1083038123,3.1083038123,9.652651777740669j
22,-3.1054402532,1.1000000000,-6.4461541588,1.5286600975,1.5286600975,4.747162600275819j,0.7778174593,-6.4461541588,3.0573201950,3.0573201950,9.494325200551637j
23,-3.1054402532,1.1500000000,-6.3960853923,1.5017149043,1.5017149043,4.663485912712672j,0.8131727984,-6.3960853923,3.0034298087,3.0034298087,9.326971825425344j
24,-3.1054402532,1.2000000000,-6.3447881053,1.4732894003,1.4732894003,4.575212208240756j,0.8485281374,-6.3447881053,2.9465788006,2.9465788006,9.150424416481512j
25,-3.1054402532,1.2500000000,-6.2923871981,1.4433588360,1.4433588360,4.482264629056349j,0.8838834765,-6.2923871981,2.8867176720,2.8867176720,8.964529258112698j
26,-3.1054402532,1.3000000000,-6.2390111709,1.4119014136,1.4119014136,4.384575483369992j,0.9192388155,-6.2390111709,2.8238028272,2.8238028272,8.769150966739984j
27,-3.1054402532,1.3500000000,-6.1847917118,1.3788991387,1.3788991387,4.28208889046267j,0.9545941546,-6.1847917118,2.7577982774,2.7577982774,8.56417778092534j
28,-3.1054402532,1.4000000000,-6.1298632263,1.3443387424,1.3443387424,4.174763644490845j,0.9899494937,-6.1298632263,2.6886774848,2.6886774848,8.34952728898169j
29,-3.1054402532,1.4500000000,-6.0743623061,1.3082126635,1.3082126635,4.0625762648652j,1.0253048327,-6.0743623061,2.6164253269,2.6164253269,8.1251525297304j
30,-3.1054402532,1.5000000000,-6.0184271334,1.2705200765,1.2705200765,3.9455241879686525j,1.0606601718,-6.0184271334,2.5410401530,2.5410401530,7.891048375937305j
