,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-4.7713867762,0.0000000000,-10.7062868472,2.3000000000,2.3000000000,10.974189585354008j,0.0000000000,-10.7062868472,4.6000000000,4.6000000000,21.948379170708016j
1,-4.7713867762,0.0500000000,-10.7040792710,2.2993807789,2.2993807789,10.97123504209918j,0.0353553391,-10.7040792710,4.5987615578,4.5987615578,21.94247008419836j
2,-4.7713867762,0.1000000000,-10.6974703156,2.2975241678,2.2975241678,10.962376432223575j,0.0707106781,-10.6974703156,4.5950483356,4.5950483356,21.92475286444715j
3,-4.7713867762,0.1500000000,-10.6864727755,2.2944253232,2.2944253232,10.947590646141574j,0.1060660172,-10.6864727755,4.5888506464,4.5888506464,21.895181292283148j
4,-4.7713867762,0.2000000000,-10.6711079721,2.2900761183,2.2900761183,10.926838907214835j,0.1414213562,-10.6711079721,4.5801522365,4.5801522365,21.85367781442967j
5,-4.7713867762,0.2500000000,-10.6514042768,2.2844646045,2.2844646045,10.900064204709409j,0.1767766953,-10.6514042768,4.5689292090,4.5689292090,21.800128409418818j
6,-4.7713867762,0.3000000000,-10.6273940070,2.2775738688,2.2775738688,10.867185839432015j,0.2121320344,-10.6273940070,4.5551477376,4.5551477376,21.73437167886403j
7,-4.7713867762,0.3500000000,-10.5991321559,2.2693874965,2.2693874965,10.82812549083683j,0.2474873734,-10.5991321559,4.5387749929,4.5387749929,21.65625098167366j
8,-4.7713867762,0.4000000000,-10.5666745702,2.2598829374,2.2598829374,10.782775563449697j,0.2828427125,-10.5666745702,4.5197658748,4.5197658748,21.565551126899393j
9,-4.7713867762,0.4500000000,-10.5300858568,2.2490335650,2.2490335650,10.731009011286572j,0.3181980515,-10.5300858568,4.4980671300,4.4980671300,21.462018022573144j
10,-4.7713867762,0.5000000000,-10.4894366849,2.2368074464,2.2368074464,10.67267347056691j,0.3535533906,-10.4894366849,4.4736148927,4.4736148927,21.34534694113382j
11,-4.7713867762,0.5500000000,-10.4448066858,2.2231678656,2.2231678656,10.60759375545599j,0.3889087297,-10.4448066858,4.4463357313,4.4463357313,21.21518751091198j
12,-4.7713867762,0.6000000000,-10.3962932488,2.2080764116,2.2080764116,10.535586591298616j,0.4242640687,-10.3962932488,4.4161528232,4.4161528232,21.07117318259723j
13,-4.7713867762,0.6500000000,-10.3439969938,2.1914875409,2.1914875409,10.456434672907566j,0.4596194078,-10.3439969938,4.3829750818,4.3829750818,20.912869345815132j
14,-4.7713867762,0.7000000000,-10.2880278083,2.1733503188,2.1733503188,10.369894971247366j,0.4949747468,-10.2880278083,4.3467006376,4.3467006376,20.73978994249473j
15,-4.7713867762,0.7500000000,-10.2285013852,2.1536064331,2.1536064331,10.275689256009555j,0.5303300859,-10.2285013852,4.3072128662,4.3072128662,20.55137851201911j
16,-4.7713867762,0.8000000000,-10.1655467836,2.1321931710,2.1321931710,10.17351830032197j,0.5656854249,-10.1655467836,4.2643863419,4.2643863419,20.34703660064394j
17,-4.7713867762,0.8500000000,-10.0993064740,2.1090439210,2.1090439210,10.063064275053128j,0.6010407640,-10.0993064740,4.2180878420,4.2180878420,20.126128550106255j
18,-4.7713867762,0.9000000000,-10.0299287710,2.0840842913,2.0840842913,9.943972228220515j,0.6363961031,-10.0299287710,4.1681685827,4.1681685827,19.88794445644103j
19,-4.7713867762,0.9500000000,-9.9575718840,2.0572339588,2.0572339588,9.815858906563287j,0.6717514421,-9.9575718840,4.1144679176,4.1144679176,19.631717813126574j
20,-4.7713867762,1.0000000000,-9.8824003298,2.0284039974,2.0284039974,9.678300010283559j,0.7071067812,-9.8824003298,4.0568079949,4.0568079949,19.356600020567118j
21,-4.7713867762,1.0500000000,-9.8045947101,1.9975040439,1.9975040439,9.53086438064491j,0.7424621202,-9.8045947101,3.9950080878,3.9950080878,19.06172876128982j
22,-4.7713867762,1.1000000000,-9.7243455116,1.9644395620,1.9644395620,9.373100948770922j,0.7778174593,-9.7243455116,3.9288791240,3.9288791240,18.746201897541845j
23,-4.7713867762,1.1500000000,-9.6418510853,1.9291107566,1.9291107566,9.204533553859866j,0.8131727984,-9.6418510853,3.8582215132,3.8582215132,18.409067107719732j
24,-4.7713867762,1.2000000000,-9.5573196462,1.8914152872,1.8914152872,9.024673889682113j,0.8485281374,-9.5573196462,3.7828305744,3.7828305744,18.049347779364226j
25,-4.7713867762,1.2500000000,-9.4709662624,1.8512453381,1.8512453381,8.833007525937601j,0.8838834765,-9.4709662624,3.7024906763,3.7024906763,17.666015051875203j
26,-4.7713867762,1.3000000000,-9.3830211125,1.8085016268,1.8085016268,8.62906074682654j,0.9192388155,-9.3830211125,3.6170032536,3.6170032536,17.25812149365308j
27,-4.7713867762,1.3500000000,-9.2937208630,1.7630862387,1.7630862387,8.412366364850373j,0.9545941546,-9.2937208630,3.5261724775,3.5261724775,16.824732729700745j
28,-4.7713867762,1.4000000000,-9.2033094991,1.7149064725,1.7149064725,8.182482065243478j,0.9899494937,-9.2033094991,3.4298129449,3.4298129449,16.364964130486957j
29,-4.7713867762,1.4500000000,-9.1120381768,1.6638791231,1.6638791231,7.939010845291586j,1.0253048327,-9.1120381768,3.3277582462,3.3277582462,15.878021690583171j
30,-4.7713867762,1.5000000000,-9.0201634020,1.6099279452,1.6099279452,7.681588908212022j,1.0606601718,-9.0201634020,3.2198558903,3.2198558903,15.363177816424043j
31,-4.7713867762,1.5500000000,-8.9279489004,1.5530061137,1.5530061137,7.409992834261177j,1.0960155108,-8.9279489004,3.1060122274,3.1060122274,14.819985668522355j
32,-4.7713867762,1.6000000000,-8.8356596524,1.4930828566,1.4930828566,7.124075797774382j,1.1313708499,-8.8356596524,2.9861657132,2.9861657132,14.248151595548764j
33,-4.7713867762,1.6500000000,-8.7435617158,1.4301534295,1.4301534295,6.823815161352357j,1.1667261890,-8.7435617158,2.8603068589,2.8603068589,13.647630322704714j
34,-4.7713867762,1.7000000000,-8.6519202754,1.3642429882,1.3642429882,6.509330953382983j,1.2020815280,-8.6519202754,2.7284859764,2.7284859764,13.018661906765965j
35,-4.7713867762,1.7500000000,-8.5609985396,1.2954082907,1.2954082907,6.180893988022827j,1.2374368671,-8.5609985396,2.5908165814,2.5908165814,12.361787976045655j
36,-4.7713867762,1.8000000000,-8.4710508061,1.2237553522,1.2237553522,5.839010104736852j,1.2727922061,-8.4710508061,2.4475107044,2.4475107044,11.678020209473704j
37,-4.7713867762,1.8500000000,-8.3823230562,1.1494269753,1.1494269753,5.48436067013424j,1.3081475452,-8.3823230562,2.2988539506,2.2988539506,10.96872134026848j
38,-4.7713867762,1.9000000000,-8.2950490805,1.0726106520,1.0726106520,5.117840281095374j,1.3435028843,-8.2950490805,2.1452213040,2.1452213040,10.235680562190748j
39,-4.7713867762,1.9500000000,-8.2094485875,0.9935384468,0.9935384468,4.740556206791103j,1.3788582233,-8.2094485875,1.9870768936,1.9870768936,9.481112413582206j
40,-4.7713867762,2.0000000000,-8.1257239029,0.9124884552,0.9124884552,4.353835348832137j,1.4142135624,-8.1257239029,1.8249769105,1.8249769105,8.707670697664273j
41,-4.7713867762,2.0500000000,-8.0440512401,0.8297870329,0.8297870329,3.9592348760482827j,1.4495689014,-8.0440512401,1.6595740659,1.6595740659,7.9184697520965655j
42,-4.7713867762,2.1000000000,-7.9645853824,0.7457973084,0.7457973084,3.5584874150698615j,1.4849242405,-7.9645853824,1.4915946168,1.4915946168,7.116974830139723j
