,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.3120097388,0.0000000000,-5.2768509770,1.5000000000,1.5000000000,3.4680146082313423j,0.0000000000,-5.2768509770,3.0000000000,3.0000000000,6.936029216462685j
1,-2.3120097388,0.0500000000,-5.2759103084,1.4995515962,1.4995515962,3.466977894200531j,0.0353553391,-5.2759103084,2.9991031923,2.9991031923,6.933955788401062j
2,-2.3120097388,0.1000000000,-5.2730992168,1.4982101982,1.4982101982,3.463876569003262j,0.0707106781,-5.2730992168,2.9964203964,2.9964203964,6.927753138006524j
3,-2.3120097388,0.1500000000,-5.2684237165,1.4959745302,1.4959745302,3.4587076828582846j,0.1060660172,-5.2684237165,2.9919490604,2.9919490604,6.917415365716569j
4,-2.3120097388,0.2000000000,-5.2618938067,1.4928424763,1.4928424763,3.4514663438432223j,0.1414213562,-5.2618938067,2.9856849527,2.9856849527,6.9029326876864445j
5,-2.3120097388,0.2500000000,-5.2535148724,1.4888068376,1.4888068376,3.4421359077152682j,0.1767766953,-5.2535148724,2.9776136752,2.9776136752,6.8842718154305365j
6,-2.3120097388,0.3000000000,-5.2433135617,1.4838680287,1.4838680287,3.430717333579114j,0.2121320344,-5.2433135617,2.9677360575,2.9677360575,6.861434667158228j
7,-2.3120097388,0.3500000000,-5.2313118805,1.4780215228,1.4780215228,3.417200154922753j,0.2474873734,-5.2313118805,2.9560430456,2.9560430456,6.834400309845506j
8,-2.3120097388,0.4000000000,-5.2175356764,1.4712619887,1.4712619887,3.4015720463391173j,0.2828427125,-5.2175356764,2.9425239775,2.9425239775,6.8031440926782345j
9,-2.3120097388,0.4500000000,-5.2020066901,1.4635790402,1.4635790402,3.3838089945404923j,0.3181980515,-5.2020066901,2.9271580805,2.9271580805,6.767617989080985j
10,-2.3120097388,0.5000000000,-5.1847667079,1.4549701001,1.4549701001,3.3639050412255727j,0.3535533906,-5.1847667079,2.9099402003,2.9099402003,6.727810082451145j
11,-2.3120097388,0.5500000000,-5.1658533305,1.4454278409,1.4454278409,3.3418432450064066j,0.3889087297,-5.1658533305,2.8908556819,2.8908556819,6.683686490012813j
12,-2.3120097388,0.6000000000,-5.1453077803,1.4349442816,1.4349442816,3.31760515383534j,0.4242640687,-5.1453077803,2.8698885633,2.8698885633,6.63521030767068j
13,-2.3120097388,0.6500000000,-5.1231678618,1.4235065021,1.4235065021,3.291160896054625j,0.4596194078,-5.1231678618,2.8470130041,2.8470130041,6.58232179210925j
14,-2.3120097388,0.7000000000,-5.0994895655,1.4111098349,1.4111098349,3.2624996808958744j,0.4949747468,-5.0994895655,2.8222196699,2.8222196699,6.524999361791749j
15,-2.3120097388,0.7500000000,-5.0743252906,1.3977451813,1.3977451813,3.23160047148161j,0.5303300859,-5.0743252906,2.7954903625,2.7954903625,6.46320094296322j
16,-2.3120097388,0.8000000000,-5.0477307294,1.3834031323,1.3834031323,3.1984415145512606j,0.5656854249,-5.0477307294,2.7668062646,2.7668062646,6.396883029102521j
17,-2.3120097388,0.8500000000,-5.0197589582,1.3680696563,1.3680696563,3.162990368835518j,0.6010407640,-5.0197589582,2.7361393127,2.7361393127,6.325980737671036j
18,-2.3120097388,0.9000000000,-4.9904787417,1.3517397148,1.3517397148,3.1252353849373344j,0.6363961031,-4.9904787417,2.7034794296,2.7034794296,6.250470769874669j
19,-2.3120097388,0.9500000000,-4.9599558941,1.3344043983,1.3344043983,3.085155964416402j,0.6717514421,-4.9599558941,2.6688087966,2.6688087966,6.170311928832804j
20,-2.3120097388,1.0000000000,-4.9282590345,1.3160551197,1.3160551197,3.042732253675491j,0.7071067812,-4.9282590345,2.6321102395,2.6321102395,6.085464507350982j
21,-2.3120097388,1.0500000000,-4.8954549773,1.2966793248,1.2966793248,2.997935227175523j,0.7424621202,-4.8954549773,2.5933586497,2.5933586497,5.995870454351046j
22,-2.3120097388,1.1000000000,-4.8616230933,1.2762745021,1.2762745021,2.950759078319897j,0.7778174593,-4.8616230933,2.5525490042,2.5525490042,5.901518156639794j
23,-2.3120097388,1.1500000000,-4.8268403747,1.2548351851,1.2548351851,2.9011911685910454j,0.8131727984,-4.8268403747,2.5096703702,2.5096703702,5.802382337182091j
24,-2.3120097388,1.2000000000,-4.7911858986,1.2323572185,1.2323572185,2.8492218908936913j,0.8485281374,-4.7911858986,2.4647144370,2.4647144370,5.6984437817873825j
25,-2.3120097388,1.2500000000,-4.7547376286,1.2088335924,1.2088335924,2.794835038187525j,0.8838834765,-4.7547376286,2.4176671848,2.4176671848,5.58967007637505j
26,-2.3120097388,1.3000000000,-4.7175823383,1.1842686072,1.1842686072,2.7380405532073997j,0.9192388155,-4.7175823383,2.3685372144,2.3685372144,5.476081106414799j
27,-2.3120097388,1.3500000000,-4.6798047972,1.1586649237,1.1586649237,2.6788445875308105j,0.9545941546,-4.6798047972,2.3173298473,2.3173298473,5.357689175061621j
28,-2.3120097388,1.4000000000,-4.6414908394,1.1320278264,1.1320278264,2.617259359226187j,0.9899494937,-4.6414908394,2.2640556528,2.2640556528,5.234518718452374j
29,-2.3120097388,1.4500000000,-4.6027256137,1.1043613266,1.1043613266,2.5532941423005315j,1.0253048327,-4.6027256137,2.2087226532,2.2087226532,5.106588284601063j
30,-2.3120097388,1.5000000000,-4.5635987985,1.0756819473,1.0756819473,2.486987137965117j,1.0606601718,-4.5635987985,2.1513638945,2.1513638945,4.973974275930234j
31,-2.3120097388,1.5500000000,-4.5241981344,1.0460061741,1.0460061741,2.4183764613864707j,1.0960155108,-4.5241981344,2.0920123482,2.0920123482,4.836752922772941j
32,-2.3120097388,1.6000000000,-4.4846110778,1.0153545311,1.0153545311,2.3475095643323542j,1.1313708499,-4.4846110778,2.0307090623,2.0307090623,4.6950191286647085j
33,-2.3120097388,1.6500000000,-4.4449244576,0.9837481285,0.9837481285,2.274435253618302j,1.1667261890,-4.4449244576,1.9674962570,1.9674962570,4.548870507236604j
34,-2.3120097388,1.7000000000,-4.4052250098,0.9512211920,0.9512211920,2.1992326596589864j,1.2020815280,-4.4052250098,1.9024423840,1.9024423840,4.398465319317973j
35,-2.3120097388,1.7500000000,-4.3655972523,0.9178094637,0.9178094637,2.1219844185139176j,1.2374368671,-4.3655972523,1.8356189274,1.8356189274,4.243968837027835j
36,-2.3120097388,1.8000000000,-4.3261238084,0.8835537904,0.8835537904,2.04278496824815j,1.2727922061,-4.3261238084,1.7671075809,1.7671075809,4.0855699364963j
37,-2.3120097388,1.8500000000,-4.2868863515,0.8484973077,0.8484973077,1.961734038868362j,1.3081475452,-4.2868863515,1.6969946155,1.6969946155,3.923468077736724j
38,-2.3120097388,1.9000000000,-4.2479618486,0.8126955640,0.8126955640,1.878960058596453j,1.3435028843,-4.2479618486,1.6253911279,1.6253911279,3.757920117192906j
39,-2.3120097388,1.9500000000,-4.2094245129,0.7762066080,0.7762066080,1.7945972371270469j,1.3788582233,-4.2094245129,1.5524132161,1.5524132161,3.5891944742540938j
40,-2.3120097388,2.0000000000,-4.1713449994,0.7390937344,0.7390937344,1.7087919117552326j,1.4142135624,-4.1713449994,1.4781874687,1.4781874687,3.417583823510465j
41,-2.3120097388,2.0500000000,-4.1337924410,0.7014235020,0.7014235020,1.6216979677489956j,1.4495689014,-4.1337924410,1.4028470041,1.4028470041,3.243395935497991j
42,-2.3120097388,2.1000000000,-4.0968271823,0.6632722502,0.6632722502,1.5334919018843998j,1.4849242405,-4.0968271823,1.3265445003,1.3265445003,3.0669838037687995j
43,-2.3120097388,2.1500000000,-4.0605062537,0.6247187455,0.6247187455,1.4443558236774579j,1.5202795796,-4.0605062537,1.2494374910,1.2494374910,2.8887116473549157j
44,-2.3120097388,2.2000000000,-4.0248817481,0.5858457895,0.5858457895,1.3544811707867346j,1.5556349186,-4.0248817481,1.1716915790,1.1716915790,2.708962341573469j
45,-2.3120097388,2.2500000000,-3.9900036858,0.5467392777,0.5467392777,1.2640665347363673j,1.5909902577,-3.9900036858,1.0934785555,1.0934785555,2.5281330694727346j
46,-2.3120097388,2.3000000000,-3.9559103378,0.5074901955,0.5074901955,1.1733222742924063j,1.6263455967,-3.9559103378,1.0149803909,1.0149803909,2.3466445485848126j
47,-2.3120097388,2.3500000000,-3.9226363907,0.4681906958,0.4681906958,1.0824614483996504j,1.6617009358,-3.9226363907,0.9363813917,0.9363813917,2.164922896799301j
48,-2.3120097388,2.4000000000,-3.8902108681,0.4289344677,0.4289344677,0.9917006667251538j,1.6970562748,-3.8902108681,0.8578689355,0.8578689355,1.9834013334503076j
49,-2.3120097388,2.4500000000,-3.8586605003,0.3898170276,0.3898170276,0.9012607641129337j,1.7324116139,-3.8586605003,0.7796340552,0.7796340552,1.8025215282258673j
50,-2.3120097388,2.5000000000,-3.8279989054,0.3509328926,0.3509328926,0.8113602654086507j,1.7677669530,-3.8279989054,0.7018657852,0.7018657852,1.6227205308173014j
51,-2.3120097388,2.5500000000,-3.7982363934,0.3123757339,0.3123757339,0.7222157389844589j,1.8031222920,-3.7982363934,0.6247514678,0.6247514678,1.4444314779689178j
52,-2.3120097388,2.6000000000,-3.7693777773,0.2742376498,0.2742376498,0.6340401170398414j,1.8384776311,-3.7693777773,0.5484752996,0.5484752996,1.2680802340796828j
53,-2.3120097388,2.6500000000,-3.7414258878,0.2366107989,0.2366107989,0.5470464714453566j,1.8738329701,-3.7414258878,0.4732215979,0.4732215979,1.0940929428907131j
54,-2.3120097388,2.7000000000,-3.7143708323,0.1995801745,0.1995801745,0.46143130721030406j,1.9091883092,-3.7143708323,0.3991603491,0.3991603491,0.9228626144206081j
55,-2.3120097388,2.7500000000,-3.6882002944,0.1632279956,0.1632279956,0.3773847154570955j,1.9445436483,-3.6882002944,0.3264559912,0.3264559912,0.754769430914191j
56,-2.3120097388,2.8000000000,-3.6628974960,0.1276322048,0.1276322048,0.2950869004221296j,1.9798989873,-3.6628974960,0.2552644095,0.2552644095,0.5901738008442592j
57,-2.3120097388,2.8500000000,-3.6384444980,0.0928693755,0.0928693755,0.21471490063726312j,2.0152543264,-3.6384444980,0.1857387510,0.1857387510,0.42942980127452623j
58,-2.3120097388,2.9000000000,-3.6148125264,0.0590040818,0.0590040818,0.13641801163906805j,2.0506096654,-3.6148125264,0.1180081635,0.1180081635,0.2728360232781361j
59,-2.3120097388,2.9500000000,-3.5919716963,0.0260970680,0.0260970680,0.060336675312890116j,2.0859650045,-3.5919716963,0.0521941360,0.0521941360,0.12067335062578023j
60,-2.3120097388,3.0000000000,-3.5698892757,-0.0057966791,-0.0057966791,(-0-0.013401978639267011j),2.1213203436,-3.5698892757,-0.0115933583,-0.0115933583,-0.026803957278534022j
61,-2.3120097388,3.0500000000,-3.5485324781,-0.0366240374,-0.0366240374,(-0-0.08467513113991137j),2.1566756826,-3.5485324781,-0.0732480748,-0.0732480748,-0.16935026227982275j
62,-2.3120097388,3.1000000000,-3.5278604970,-0.0663465297,-0.0663465297,(-0-0.15339382278015912j),2.1920310217,-3.5278604970,-0.1326930594,-0.1326930594,-0.30678764556031823j
63,-2.3120097388,3.1500000000,-3.5078328295,-0.0949293798,-0.0949293798,(-0-0.21947765050773368j),2.2273863607,-3.5078328295,-0.1898587595,-0.1898587595,-0.43895530101546737j
64,-2.3120097388,3.2000000000,-3.4884078946,-0.1223435974,-0.1223435974,(-0-0.2828595887599254j),2.2627416998,-3.4884078946,-0.2446871949,-0.2446871949,-0.5657191775198508j
65,-2.3120097388,3.2500000000,-3.4695451364,-0.1485615454,-0.1485615454,(-0-0.34347573984468277j),2.2980970389,-3.4695451364,-0.2971230909,-0.2971230909,-0.6869514796893655j
66,-2.3120097388,3.3000000000,-3.4511990547,-0.1735706573,-0.1735706573,(-0-0.40129705013645706j),2.3334523779,-3.4511990547,-0.3471413147,-0.3471413147,-0.8025941002729141j
67,-2.3120097388,3.3500000000,-3.4333256461,-0.1973609912,-0.1973609912,(-0-0.45630053375768864j),2.3688077170,-3.4333256461,-0.3947219824,-0.3947219824,-0.9126010675153773j
68,-2.3120097388,3.4000000000,-3.4158813688,-0.2199273070,-0.2199273070,(-0-0.5084740756656709j),2.4041630560,-3.4158813688,-0.4398546140,-0.4398546140,-1.0169481513313419j
69,-2.3120097388,3.4500000000,-3.3988245088,-0.2412645652,-0.2412645652,(-0-0.5578060243045003j),2.4395183951,-3.3988245088,-0.4825291303,-0.4825291303,-1.1156120486090007j
70,-2.3120097388,3.5000000000,-3.3821111939,-0.2613815900,-0.2613815900,(-0-0.6043167816239645j),2.4748737342,-3.3821111939,-0.5227631800,-0.5227631800,-1.208633563247929j
71,-2.3120097388,3.5500000000,-3.3656998265,-0.2802883351,-0.2802883351,(-0-0.6480293604131437j),2.5102290732,-3.3656998265,-0.5605766702,-0.5605766702,-1.2960587208262875j
72,-2.3120097388,3.6000000000,-3.3495503548,-0.2979978600,-0.2979978600,(-0-0.6889739544156058j),2.5455844123,-3.3495503548,-0.5959957200,-0.5959957200,-1.3779479088312117j
73,-2.3120097388,3.6500000000,-3.3336249679,-0.3145221346,-0.3145221346,(-0-0.7271782383011034j),2.5809397513,-3.3336249679,-0.6290442692,-0.6290442692,-1.4543564766022068j
74,-2.3120097388,3.7000000000,-3.3178858720,-0.3298849366,-0.3298849366,(-0-0.7626971860706964j),2.6162950904,-3.3178858720,-0.6597698732,-0.6597698732,-1.5253943721413927j
75,-2.3120097388,3.7500000000,-3.3022978721,-0.3441097592,-0.3441097592,(-0-0.7955851144018041j),2.6516504294,-3.3022978721,-0.6882195183,-0.6882195183,-1.5911702288036083j
76,-2.3120097388,3.8000000000,-3.2868278962,-0.3572216278,-0.3572216278,(-0-0.8258998823391244j),2.6870057685,-3.2868278962,-0.7144432556,-0.7144432556,-1.6517997646782487j
77,-2.3120097388,3.8500000000,-3.2714451588,-0.3692434328,-0.3692434328,(-0-0.8536944125372912j),2.7223611076,-3.2714451588,-0.7384868655,-0.7384868655,-1.7073888250745823j
78,-2.3120097388,3.9000000000,-3.2561203553,-0.3802076129,-0.3802076129,(-0-0.8790437038318887j),2.7577164466,-3.2561203553,-0.7604152258,-0.7604152258,-1.7580874076637774j
79,-2.3120097388,3.9500000000,-3.2408267275,-0.3901452825,-0.3901452825,(-0-0.9020196926263828j),2.7930717857,-3.2408267275,-0.7802905649,-0.7802905649,-1.8040393852527656j
80,-2.3120097388,4.0000000000,-3.2255397833,-0.3990878439,-0.3990878439,(-0-0.9226949816544666j),2.8284271247,-3.2255397833,-0.7981756877,-0.7981756877,-1.8453899633089332j
81,-2.3120097388,4.0500000000,-3.2102370940,-0.4070639313,-0.4070639313,(-0-0.9411357735619862j),2.8637824638,-3.2102370940,-0.8141278627,-0.8141278627,-1.8822715471239724j
82,-2.3120097388,4.1000000000,-3.1948985181,-0.4141096493,-0.4141096493,(-0-0.95742554204316j),2.8991378029,-3.1948985181,-0.8282192985,-0.8282192985,-1.91485108408632j
83,-2.3120097388,4.1500000000,-3.1795061568,-0.4202591830,-0.4202591830,(-0-0.971643323928811j),2.9344931419,-3.1795061568,-0.8405183660,-0.8405183660,-1.943286647857622j
84,-2.3120097388,4.2000000000,-3.1640442141,-0.4255461794,-0.4255461794,(-0-0.9838669110733943j),2.9698484810,-3.1640442141,-0.8510923588,-0.8510923588,-1.9677338221467886j
85,-2.3120097388,4.2500000000,-3.1484985844,-0.4300012892,-0.4300012892,(-0-0.9941671682390131j),3.0052038200,-3.1484985844,-0.8600025783,-0.8600025783,-1.9883343364780262j
86,-2.3120097388,4.3000000000,-3.1328577282,-0.4336608868,-0.4336608868,(-0-1.0026281937414097j),3.0405591591,-3.1328577282,-0.8673217737,-0.8673217737,-2.0052563874828193j
87,-2.3120097388,4.3500000000,-3.1171119174,-0.4365592118,-0.4365592118,(-0-1.0093291491488305j),3.0759144982,-3.1171119174,-0.8731184235,-0.8731184235,-2.018658298297661j
88,-2.3120097388,4.4000000000,-3.1012531854,-0.4387295056,-0.4387295056,(-0-1.0143468897689385j),3.1112698372,-3.1012531854,-0.8774590113,-0.8774590113,-2.028693779537877j
89,-2.3120097388,4.4500000000,-3.0852748358,-0.4402020931,-0.4402020931,(-0-1.0177515263891137j),3.1466251763,-3.0852748358,-0.8804041863,-0.8804041863,-2.0355030527782274j
90,-2.3120097388,4.5000000000,-3.0691726379,-0.4410116156,-0.4410116156,(-0-1.0196231503123945j),3.1819805153,-3.0691726379,-0.8820232313,-0.8820232313,-2.039246300624789j
91,-2.3120097388,4.5500000000,-3.0529437084,-0.4411906209,-0.4411906209,(-0-1.020037012247735j),3.2173358544,-3.0529437084,-0.8823812418,-0.8823812418,-2.04007402449547j
92,-2.3120097388,4.6000000000,-3.0365865116,-0.4407704652,-0.4407704652,(-0-1.0190656082394842j),3.2526911935,-3.0365865116,-0.8815409305,-0.8815409305,-2.0381312164789684j
93,-2.3120097388,4.6500000000,-3.0201003840,-0.4397798550,-0.4397798550,(-0-1.0167753077931512j),3.2880465325,-3.0201003840,-0.8795597101,-0.8795597101,-2.0335506155863023j
94,-2.3120097388,4.7000000000,-3.0034867849,-0.4382506900,-0.4382506900,(-0-1.013239863347113j),3.3234018716,-3.0034867849,-0.8765013800,-0.8765013800,-2.026479726694226j
95,-2.3120097388,4.7500000000,-2.9867480853,-0.4362129595,-0.4362129595,(-0-1.008528610498471j),3.3587572106,-2.9867480853,-0.8724259189,-0.8724259189,-2.017057220996942j
96,-2.3120097388,4.8000000000,-2.9698875902,-0.4336954306,-0.4336954306,(-0-1.0027080592757982j),3.3941125497,-2.9698875902,-0.8673908612,-0.8673908612,-2.0054161185515964j
97,-2.3120097388,4.8500000000,-2.9529091407,-0.4307245762,-0.4307245762,(-0-0.9958394149205199j),3.4294678888,-2.9529091407,-0.8614491524,-0.8614491524,-1.9916788298410397j
98,-2.3120097388,4.9000000000,-2.9358182258,-0.4273291544,-0.4273291544,(-0-0.9879891666520537j),3.4648232278,-2.9358182258,-0.8546583088,-0.8546583088,-1.9759783333041074j
99,-2.3120097388,4.9500000000,-2.9186208723,-0.4235362512,-0.4235362512,(-0-0.9792199374452613j),3.5001785669,-2.9186208723,-0.8470725023,-0.8470725023,-1.9584398748905225j
100,-2.3120097388,5.0000000000,-2.9013236717,-0.4193717852,-0.4193717852,(-0-0.9695916516832389j),3.5355339059,-2.9013236717,-0.8387435705,-0.8387435705,-1.9391833033664778j
