,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-4.0504832141,0.0000000000,-9.1287743568,2.1000000000,2.1000000000,8.506014749706667j,0.0000000000,-9.1287743568,4.2000000000,4.2000000000,17.012029499413334j
1,-4.0504832141,0.0500000000,-9.1269344579,2.0994142689,2.0994142689,8.503642255548531j,0.0353553391,-9.1269344579,4.1988285377,4.1988285377,17.007284511097062j
2,-4.0504832141,0.1000000000,-9.1214247069,2.0976576988,2.0976576988,8.496527298044601j,0.0707106781,-9.1214247069,4.1953153976,4.1953153976,16.993054596089202j
3,-4.0504832141,0.1500000000,-9.1122561638,2.0947261866,2.0947261866,8.484653257187764j,0.1060660172,-9.1122561638,4.1894523733,4.1894523733,16.96930651437553j
4,-4.0504832141,0.2000000000,-9.0994472591,2.0906128639,2.0906128639,8.467992312403208j,0.1414213562,-9.0994472591,4.1812257277,4.1812257277,16.935984624806416j
5,-4.0504832141,0.2500000000,-9.0830238076,2.0853080460,2.0853080460,8.446505236561242j,0.1767766953,-9.0830238076,4.1706160920,4.1706160920,16.893010473122484j
6,-4.0504832141,0.3000000000,-9.0630190286,2.0787991629,2.0787991629,8.420141115072015j,0.2121320344,-9.0630190286,4.1575983259,4.1575983259,16.84028223014403j
7,-4.0504832141,0.3500000000,-9.0394735716,2.0710706734,2.0710706734,8.388836997744752j,0.2474873734,-9.0394735716,4.1421413467,4.1421413467,16.777673995489504j
8,-4.0504832141,0.4000000000,-9.0124324817,2.0621028408,2.0621028408,8.352512942352647j,0.2828427125,-9.0124324817,4.1242056815,4.1242056815,16.705025884705293j
9,-4.0504832141,0.4500000000,-8.9819518134,2.0518739070,2.0518739070,8.311080817808792j,0.3181980515,-8.9819518134,4.1037478140,4.1037478140,16.622161635617584j
10,-4.0504832141,0.5000000000,-8.9480975815,2.0403597628,2.0403597628,8.264442970228554j,0.3535533906,-8.9480975815,4.0807195257,4.0807195257,16.52888594045711j
11,-4.0504832141,0.5500000000,-8.9109405518,2.0275318778,2.0275318778,8.21248383718851j,0.3889087297,-8.9109405518,4.0550637556,4.0550637556,16.42496767437702j
12,-4.0504832141,0.6000000000,-8.8705591194,2.0133581896,2.0133581896,8.155073550919843j,0.4242640687,-8.8705591194,4.0267163791,4.0267163791,16.310147101839686j
13,-4.0504832141,0.6500000000,-8.8270393564,1.9978030037,1.9978030037,8.092067531662725j,0.4596194078,-8.8270393564,3.9956060074,3.9956060074,16.18413506332545j
14,-4.0504832141,0.7000000000,-8.7804750602,1.9808269152,1.9808269152,8.023306170097335j,0.4949747468,-8.7804750602,3.9616538304,3.9616538304,16.04661234019467j
15,-4.0504832141,0.7500000000,-8.7309675669,1.9623866394,1.9623866394,7.948614142395931j,0.5303300859,-8.7309675669,3.9247732787,3.9247732787,15.897228284791861j
16,-4.0504832141,0.8000000000,-8.6786221062,1.9424328419,1.9424328419,7.86779162081166j,0.5656854249,-8.6786221062,3.8848656838,3.8848656838,15.73558324162332j
