,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.0784422259,0.0000000000,-4.7528467882,1.4000000000,1.4000000000,2.909819116241593j,0.0000000000,-4.7528467882,2.8000000000,2.8000000000,5.819638232483186j
1,-2.0784422259,0.0500000000,-4.7520280015,1.3995820822,1.3995820822,2.9089504981363805j,0.0353553391,-4.7520280015,2.7991641643,2.7991641643,5.817900996272761j
2,-2.0784422259,0.1000000000,-4.7495787589,1.3983307748,1.3983307748,2.9063497280619903j,0.0707106781,-4.7495787589,2.7966615496,2.7966615496,5.812699456123981j
3,-2.0784422259,0.1500000000,-4.7455043094,1.3962452146,1.3962452146,2.9020150117833188j,0.1060660172,-4.7455043094,2.7924904293,2.7924904293,5.8040300235666376j
4,-2.0784422259,0.2000000000,-4.7398133819,1.3933239727,1.3933239727,2.8959433792122273j,0.1414213562,-4.7398133819,2.7866479454,2.7866479454,5.791886758424455j
5,-2.0784422259,0.2500000000,-4.7325181734,1.3895650661,1.3895650661,2.88813070903279j,0.1767766953,-4.7325181734,2.7791301322,2.7791301322,5.77626141806558j
6,-2.0784422259,0.3000000000,-4.7236343328,1.3849659751,1.3849659751,2.8785717639632122j,0.2121320344,-4.7236343328,2.7699319501,2.7699319501,5.7571435279264245j
7,-2.0784422259,0.3500000000,-4.7131784009,1.3795222756,1.3795222756,2.867257349061174j,0.2474873734,-4.7131784009,2.7590445511,2.7590445511,5.734514698122348j
8,-2.0784422259,0.4000000000,-4.7011729903,1.3732304260,1.3732304260,2.854180103170587j,0.2828427125,-4.7011729903,2.7464608519,2.7464608519,5.708360206341174j
9,-2.0784422259,0.4500000000,-4.6876465710,1.3660878359,1.3660878359,2.839334642356515j,0.3181980515,-4.6876465710,2.7321756718,2.7321756718,5.67866928471303j
10,-2.0784422259,0.5000000000,-4.6726283678,1.3580901219,1.3580901219,2.82271185600784j,0.3535533906,-4.6726283678,2.7161802439,2.7161802439,5.64542371201568j
11,-2.0784422259,0.5500000000,-4.6561508955,1.3492325433,1.3492325433,2.8043018905695534j,0.3889087297,-4.6561508955,2.6984650866,2.6984650866,5.608603781139107j
12,-2.0784422259,0.6000000000,-4.6382499079,1.3395100610,1.3395100610,2.784094272807205j,0.4242640687,-4.6382499079,2.6790201220,2.6790201220,5.56818854561441j
13,-2.0784422259,0.6500000000,-4.6189643399,1.3289174069,1.3289174069,2.762078053213133j,0.4596194078,-4.6189643399,2.6578348138,2.6578348138,5.524156106426266j
14,-2.0784422259,0.7000000000,-4.5983319858,1.3174462708,1.3174462708,2.738235959507841j,0.4949747468,-4.5983319858,2.6348925415,2.6348925415,5.476471919015682j
15,-2.0784422259,0.7500000000,-4.5764025133,1.3050940309,1.3050940309,2.7125625426415376j,0.5303300859,-4.5764025133,2.6101880619,2.6101880619,5.425125085283075j
16,-2.0784422259,0.8000000000,-4.5532240015,1.2918552589,1.2918552589,2.685046519933013j,0.5656854249,-4.5532240015,2.5837105179,2.5837105179,5.370093039866026j
17,-2.0784422259,0.8500000000,-4.5288473903,1.2777246880,1.2777246880,2.6556769446578j,0.6010407640,-4.5288473903,2.5554493761,2.5554493761,5.3113538893156j
18,-2.0784422259,0.9000000000,-4.5033263777,1.2626973448,1.2626973448,2.624443480003837j,0.6363961031,-4.5033263777,2.5253946897,2.5253946897,5.248886960007674j
19,-2.0784422259,0.9500000000,-4.4767173049,1.2467686942,1.2467686942,2.5913366999708534j,0.6717514421,-4.4767173049,2.4935373884,2.4935373884,5.182673399941707j
20,-2.0784422259,1.0000000000,-4.4490774429,1.2299333091,1.2299333091,2.5563453246436416j,0.7071067812,-4.4490774429,2.4598666182,2.4598666182,5.112690649287283j
21,-2.0784422259,1.0500000000,-4.4204683392,1.2121880087,1.2121880087,2.519462742912072j,0.7424621202,-4.4204683392,2.4243760173,2.4243760173,5.038925485824144j
22,-2.0784422259,1.1000000000,-4.3909551619,1.1935320886,1.1935320886,2.4806874908087777j,0.7778174593,-4.3909551619,2.3870641771,2.3870641771,4.961374981617555j
23,-2.0784422259,1.1500000000,-4.3606034357,1.1739645228,1.1739645228,2.440017435825495j,0.8131727984,-4.3606034357,2.3479290455,2.3479290455,4.88003487165099j
24,-2.0784422259,1.2000000000,-4.3294805523,1.1534856687,1.1534856687,2.3974533207221693j,0.8485281374,-4.3294805523,2.3069713373,2.3069713373,4.794906641444339j
25,-2.0784422259,1.2500000000,-4.2976555710,1.1320974953,1.1320974953,2.3529992380476754j,0.8838834765,-4.2976555710,2.2641949906,2.2641949906,4.705998476095351j
26,-2.0784422259,1.3000000000,-4.2651990040,1.1098038217,1.1098038217,2.306663125426441j,0.9192388155,-4.2651990040,2.2196076434,2.2196076434,4.613326250852882j
27,-2.0784422259,1.3500000000,-4.2321809933,1.0866076386,1.0866076386,2.258451199090519j,0.9545941546,-4.2321809933,2.1732152773,2.1732152773,4.516902398181038j
28,-2.0784422259,1.4000000000,-4.1986763321,1.0625202025,1.0625202025,2.2083868547286514j,0.9899494937,-4.1986763321,2.1250404050,2.1250404050,4.416773709457303j
29,-2.0784422259,1.4500000000,-4.1647584473,1.0375524054,1.0375524054,2.1564927310124733j,1.0253048327,-4.1647584473,2.0751048109,2.0751048109,4.312985462024947j
30,-2.0784422259,1.5000000000,-4.1305011937,1.0117179875,1.0117179875,2.102797385865822j,1.0606601718,-4.1305011937,2.0234359750,2.0234359750,4.205594771731644j
31,-2.0784422259,1.5500000000,-4.0959785623,0.9850337808,0.9850337808,2.0473358039710576j,1.0960155108,-4.0959785623,1.9700675616,1.9700675616,4.094671607942115j
32,-2.0784422259,1.6000000000,-4.0612643737,0.9575199385,0.9575199385,1.990149872310854j,1.1313708499,-4.0612643737,1.9150398770,1.9150398770,3.980299744621708j
33,-2.0784422259,1.6500000000,-4.0264318867,0.9291988702,0.9291988702,1.931286168024519j,1.1667261890,-4.0264318867,1.8583977404,1.8583977404,3.862572336049038j
34,-2.0784422259,1.7000000000,-3.9915539745,0.9000981313,0.9000981313,1.8708019634835136j,1.2020815280,-3.9915539745,1.8001962625,1.8001962625,3.741603926967027j
35,-2.0784422259,1.7500000000,-3.9567021770,0.8702503697,0.8702503697,1.8087651154209727j,1.2374368671,-3.9567021770,1.7405007393,1.7405007393,3.6175302308419455j
36,-2.0784422259,1.8000000000,-3.9219463377,0.8396909047,0.8396909047,1.7452490331165171j,1.2727922061,-3.9219463377,1.6793818095,1.6793818095,3.4904980662330343j
37,-2.0784422259,1.8500000000,-3.8873544550,0.8084591343,0.8084591343,1.6803356025579788j,1.3081475452,-3.8873544550,1.6169182685,1.6169182685,3.3606712051159575j
38,-2.0784422259,1.9000000000,-3.8529923388,0.7765985671,0.7765985671,1.614115254467425j,1.3435028843,-3.8529923388,1.5531971342,1.5531971342,3.22823050893485j
39,-2.0784422259,1.9500000000,-3.8189232724,0.7441568045,0.7441568045,1.546686925205219j,1.3788582233,-3.8189232724,1.4883136090,1.4883136090,3.093373850410438j
40,-2.0784422259,2.0000000000,-3.7852090361,0.7111839152,0.7111839152,1.478154679712465j,1.4142135624,-3.7852090361,1.4223678304,1.4223678304,2.95630935942493j
41,-2.0784422259,2.0500000000,-3.7519058941,0.6777373507,0.6777373507,1.4086379278161876j,1.4495689014,-3.7519058941,1.3554747015,1.3554747015,2.817275855632375j
42,-2.0784422259,2.1000000000,-3.7190675878,0.6438763460,0.6438763460,1.3382597857108165j,1.4849242405,-3.7190675878,1.2877526919,1.2877526919,2.676519571421633j
43,-2.0784422259,2.1500000000,-3.6867441052,0.6096635678,0.6096635678,1.2671505030040988j,1.5202795796,-3.6867441052,1.2193271357,1.2193271357,2.5343010060081976j
44,-2.0784422259,2.2000000000,-3.6549814262,0.5751648041,0.5751648041,1.195446815609792j,1.5556349186,-3.6549814262,1.1503296081,1.1503296081,2.390893631219584j
45,-2.0784422259,2.2500000000,-3.6238212988,0.5404485926,0.5404485926,1.1232911756920614j,1.5909902577,-3.6238212988,1.0808971851,1.0808971851,2.2465823513841228j
46,-2.0784422259,2.3000000000,-3.5933021497,0.5055856794,0.5055856794,1.0508306248238113j,1.6263455967,-3.5933021497,1.0111713588,1.0111713588,2.1016612496476226j
47,-2.0784422259,2.3500000000,-3.5634568729,0.4706491602,0.4706491602,0.9782170880650881j,1.6617009358,-3.5634568729,0.9412983203,0.9412983203,1.9564341761301762j
48,-2.0784422259,2.4000000000,-3.5343124154,0.4357133584,0.4357133584,0.9056050424372777j,1.6970562748,-3.5343124154,0.8714267168,0.8714267168,1.8112100848745554j
49,-2.0784422259,2.4500000000,-3.5058920061,0.4008531552,0.4008531552,0.8331501241144172j,1.7324116139,-3.5058920061,0.8017063104,0.8017063104,1.6663002482288345j
50,-2.0784422259,2.5000000000,-3.4782140679,0.3661436699,0.3661436699,0.7610084642384037j,1.7677669530,-3.4782140679,0.7322873398,0.7322873398,1.5220169284768075j
51,-2.0784422259,2.5500000000,-3.4512922264,0.3316596861,0.3316596861,0.6893354963039844j,1.8031222920,-3.4512922264,0.6633193723,0.6633193723,1.3786709926079688j
52,-2.0784422259,2.6000000000,-3.4251353618,0.2974750771,0.2974750771,0.6182847613653225j,1.8384776311,-3.4251353618,0.5949501542,0.5949501542,1.236569522730645j
53,-2.0784422259,2.6500000000,-3.3997502231,0.2636636960,0.2636636960,0.5480097591174617j,1.8738329701,-3.3997502231,0.5273273919,0.5273273919,1.0960195182349235j
54,-2.0784422259,2.7000000000,-3.3751339699,0.2302949204,0.2302949204,0.47865468695413427j,1.9091883092,-3.3751339699,0.4605898408,0.4605898408,0.9573093739082685j
55,-2.0784422259,2.7500000000,-3.3512819154,0.1974365546,0.1974365546,0.41036047207006987j,1.9445436483,-3.3512819154,0.3948731093,0.3948731093,0.8207209441401397j
56,-2.0784422259,2.8000000000,-3.3281852389,0.1651533833,0.1651533833,0.3432617656690437j,1.9798989873,-3.3281852389,0.3303067667,0.3303067667,0.6865235313380874j
57,-2.0784422259,2.8500000000,-3.3058312194,0.1335067380,0.1335067380,0.2774860416241828j,2.0152543264,-3.3058312194,0.2670134759,0.2670134759,0.5549720832483656j
58,-2.0784422259,2.9000000000,-3.2842035007,0.1025541176,0.1025541176,0.2131528084495384j,2.0506096654,-3.2842035007,0.2051082352,0.2051082352,0.4263056168990768j
59,-2.0784422259,2.9500000000,-3.2632834990,0.0723501704,0.0723501704,0.15037564926030125j,2.0859650045,-3.2632834990,0.1447003408,0.1447003408,0.3007512985206025j
60,-2.0784422259,3.0000000000,-3.2430483547,0.0429440581,0.0429440581,0.08925674377151849j,2.1213203436,-3.2430483547,0.0858881163,0.0858881163,0.17851348754303697j
61,-2.0784422259,3.0500000000,-3.2234714199,0.0143788108,0.0143788108,0.029885527564150405j,2.1566756826,-3.2234714199,0.0287576216,0.0287576216,0.05977105512830081j
62,-2.0784422259,3.1000000000,-3.2045248321,-0.0133060651,-0.0133060651,(-0-0.027655887502034283j),2.1920310217,-3.2045248321,-0.0266121301,-0.0266121301,-0.055311775004068565j
63,-2.0784422259,3.1500000000,-3.1861786838,-0.0400758955,-0.0400758955,(-0-0.0832954333699695j),2.2273863607,-3.1861786838,-0.0801517909,-0.0801517909,-0.166590866739939j
64,-2.0784422259,3.2000000000,-3.1684013601,-0.0659008570,-0.0659008570,(-0-0.13697112395604577j),2.2627416998,-3.1684013601,-0.1318017140,-0.1318017140,-0.27394224791209154j
65,-2.0784422259,3.2500000000,-3.1511598709,-0.0907559412,-0.0907559412,(-0-0.18863098035307677j),2.2980970389,-3.1511598709,-0.1815118823,-0.1815118823,-0.37726196070615353j
66,-2.0784422259,3.3000000000,-3.1344217040,-0.1146175707,-0.1146175707,(-0-0.2382259987563612j),2.3334523779,-3.1344217040,-0.2292351414,-0.2292351414,-0.4764519975127224j
67,-2.0784422259,3.3500000000,-3.1181503257,-0.1374732803,-0.1374732803,(-0-0.2857302706125782j),2.3688077170,-3.1181503257,-0.2749465605,-0.2749465605,-0.5714605412251564j
68,-2.0784422259,3.4000000000,-3.1023105238,-0.1593118700,-0.1593118700,(-0-0.33112051774554707j),2.4041630560,-3.1023105238,-0.3186237401,-0.3186237401,-0.6622410354910941j
69,-2.0784422259,3.4500000000,-3.0868669454,-0.1801263572,-0.1801263572,(-0-0.3743822267328545j),2.4395183951,-3.0868669454,-0.3602527143,-0.3602527143,-0.748764453465709j
70,-2.0784422259,3.5000000000,-3.0717843598,-0.1999137548,-0.1999137548,(-0-0.41550918943941717j),2.4748737342,-3.0717843598,-0.3998275095,-0.3998275095,-0.8310183788788343j
71,-2.0784422259,3.5500000000,-3.0570279043,-0.2186748225,-0.2186748225,(-0-0.45450298472086953j),2.5102290732,-3.0570279043,-0.4373496449,-0.4373496449,-0.9090059694417391j
72,-2.0784422259,3.6000000000,-3.0425637314,-0.2364121448,-0.2364121448,(-0-0.49136898438292237j),2.5455844123,-3.0425637314,-0.4728242895,-0.4728242895,-0.9827379687658447j
73,-2.0784422259,3.6500000000,-3.0283582113,-0.2531332077,-0.2531332077,(-0-0.5261227476429856j),2.5809397513,-3.0283582113,-0.5062664154,-0.5062664154,-1.0522454952859712j
74,-2.0784422259,3.7000000000,-3.0143783819,-0.2688501077,-0.2688501077,(-0-0.558789416294083j),2.6162950904,-3.0143783819,-0.5377002154,-0.5377002154,-1.117578832588166j
75,-2.0784422259,3.7500000000,-3.0005929046,-0.2835759020,-0.2835759020,(-0-0.5893961289596473j),2.6516504294,-3.0005929046,-0.5671518040,-0.5671518040,-1.1787922579192947j
76,-2.0784422259,3.8000000000,-2.9869717192,-0.2973260216,-0.2973260216,(-0-0.617974958058385j),2.6870057685,-2.9869717192,-0.5946520431,-0.5946520431,-1.23594991611677j
77,-2.0784422259,3.8500000000,-2.9734861604,-0.3101180038,-0.3101180038,(-0-0.6445623540076362j),2.7223611076,-2.9734861604,-0.6202360075,-0.6202360075,-1.2891247080152723j
78,-2.0784422259,3.9000000000,-2.9601090535,-0.3219712347,-0.3219712347,(-0-0.669198609754932j),2.7577164466,-2.9601090535,-0.6439424694,-0.6439424694,-1.338397219509864j
79,-2.0784422259,3.9500000000,-2.9468149813,-0.3329037733,-0.3329037733,(-0-0.691921259598634j),2.7930717857,-2.9468149813,-0.6658075466,-0.6658075466,-1.383842519197268j
80,-2.0784422259,4.0000000000,-2.9335796221,-0.3429410599,-0.3429410599,(-0-0.7127831798378416j),2.8284271247,-2.9335796221,-0.6858821198,-0.6858821198,-1.4255663596756831j
81,-2.0784422259,4.0500000000,-2.9203806757,-0.3521066265,-0.3521066265,(-0-0.7318332806360173j),2.8637824638,-2.9203806757,-0.7042132531,-0.7042132531,-1.4636665612720345j
82,-2.0784422259,4.1000000000,-2.9071975332,-0.3604249461,-0.3604249461,(-0-0.7491224271848596j),2.8991378029,-2.9071975332,-0.7208498921,-0.7208498921,-1.498244854369719j
83,-2.0784422259,4.1500000000,-2.8940112867,-0.3679212548,-0.3679212548,(-0-0.7647030717600998j),2.9344931419,-2.8940112867,-0.7358425096,-0.7358425096,-1.5294061435201995j
84,-2.0784422259,4.2000000000,-2.8808047253,-0.3746213829,-0.3746213829,(-0-0.7786289010068587j),2.9698484810,-2.8808047253,-0.7492427659,-0.7492427659,-1.5572578020137173j
85,-2.0784422259,4.2500000000,-2.8675622386,-0.3805503883,-0.3805503883,(-0-0.7909519960375269j),3.0052038200,-2.8675622386,-0.7611007765,-0.7611007765,-1.5819039920750537j
86,-2.0784422259,4.3000000000,-2.8542698916,-0.3857349616,-0.3857349616,(-0-0.8017278321608993j),3.0405591591,-2.8542698916,-0.7714699232,-0.7714699232,-1.6034556643217985j
87,-2.0784422259,4.3500000000,-2.8409155080,-0.3902031244,-0.3902031244,(-0-0.8110146504279591j),3.0759144982,-2.8409155080,-0.7804062488,-0.7804062488,-1.6220293008559181j
88,-2.0784422259,4.4000000000,-2.8274884289,-0.3939816911,-0.3939816911,(-0-0.8188681830492844j),3.1112698372,-2.8274884289,-0.7879633822,-0.7879633822,-1.6377363660985689j
89,-2.0784422259,4.4500000000,-2.8139795212,-0.3970974444,-0.3970974444,(-0-0.8253440962242141j),3.1466251763,-2.8139795212,-0.7941948888,-0.7941948888,-1.6506881924484282j
90,-2.0784422259,4.5000000000,-2.8003811209,-0.3995770501,-0.3995770501,(-0-0.830497813367039j),3.1819805153,-2.8003811209,-0.7991541001,-0.7991541001,-1.660995626734078j
91,-2.0784422259,4.5500000000,-2.7866869716,-0.4014469832,-0.4014469832,(-0-0.8343843613422179j),3.2173358544,-2.7866869716,-0.8028939664,-0.8028939664,-1.6687687226844359j
92,-2.0784422259,4.6000000000,-2.7728918167,-0.4027316417,-0.4027316417,(-0-0.8370544497523508j),3.2526911935,-2.7728918167,-0.8054632833,-0.8054632833,-1.6741088995047015j
93,-2.0784422259,4.6500000000,-2.7589923397,-0.4034589242,-0.4034589242,(-0-0.8385660645583005j),3.2880465325,-2.7589923397,-0.8069178485,-0.8069178485,-1.677132129116601j
94,-2.0784422259,4.7000000000,-2.7449861139,-0.4036543881,-0.4036543881,(-0-0.8389723249747391j),3.3234018716,-2.7449861139,-0.8073087763,-0.8073087763,-1.6779446499494781j
95,-2.0784422259,4.7500000000,-2.7308718397,-0.4033431885,-0.4033431885,(-0-0.8383255144683718j),3.3587572106,-2.7308718397,-0.8066863770,-0.8066863770,-1.6766510289367436j
96,-2.0784422259,4.8000000000,-2.7166492718,-0.4025500519,-0.4025500519,(-0-0.8366770259840484j),3.3941125497,-2.7166492718,-0.8051001039,-0.8051001039,-1.6733540519680967j
97,-2.0784422259,4.8500000000,-2.7023191453,-0.4012992496,-0.4012992496,(-0-0.834077305597756j),3.4294678888,-2.7023191453,-0.8025984992,-0.8025984992,-1.668154611195512j
98,-2.0784422259,4.9000000000,-2.6878829330,-0.3996139061,-0.3996139061,(-0-0.8305744164544574j),3.4648232278,-2.6878829330,-0.7992278122,-0.7992278122,-1.6611488329089148j
99,-2.0784422259,4.9500000000,-2.6733431233,-0.3975174238,-0.3975174238,(-0-0.8262169991789509j),3.5001785669,-2.6733431233,-0.7950348476,-0.7950348476,-1.6524339983579017j
100,-2.0784422259,5.0000000000,-2.6587031336,-0.3950333025,-0.3950333025,(-0-0.8210538965232351j),3.5355339059,-2.6587031336,-0.7900666050,-0.7900666050,-1.6421077930464703j
101,-2.0784422259,5.0500000000,-2.6439668950,-0.3921838024,-0.3921838024,(-0-0.8151313751506621j),3.5708892450,-2.6439668950,-0.7843676047,-0.7843676047,-1.6302627503013243j
102,-2.0784422259,5.1000000000,-2.6291389579,-0.3889906533,-0.3889906533,(-0-0.808494599280189j),3.6062445841,-2.6291389579,-0.7779813066,-0.7779813066,-1.616989198560378j
103,-2.0784422259,5.1500000000,-2.6142244254,-0.3854750481,-0.3854750481,(-0-0.8011876169546169j),3.6415999231,-2.6142244254,-0.7709500962,-0.7709500962,-1.6023752339092339j
104,-2.0784422259,5.2000000000,-2.5992288876,-0.3816576377,-0.3816576377,(-0-0.7932533499739121j),3.6769552622,-2.5992288876,-0.7633152753,-0.7633152753,-1.5865066999478241j
105,-2.0784422259,5.2500000000,-2.5841581359,-0.3775576720,-0.3775576720,(-0-0.7847318082100768j),3.7123106012,-2.5841581359,-0.7551153440,-0.7551153440,-1.5694636164201536j
106,-2.0784422259,5.3000000000,-2.5690188184,-0.3731956892,-0.3731956892,(-0-0.7756656788523714j),3.7476659403,-2.5690188184,-0.7463913783,-0.7463913783,-1.5513313577047427j
107,-2.0784422259,5.3500000000,-2.5538176263,-0.3685906964,-0.3685906964,(-0-0.7660944674511767j),3.7830212793,-2.5538176263,-0.7371813928,-0.7371813928,-1.5321889349023534j
108,-2.0784422259,5.4000000000,-2.5385615022,-0.3637611482,-0.3637611482,(-0-0.756056530652253j),3.8183766184,-2.5385615022,-0.7275222965,-0.7275222965,-1.512113061304506j
109,-2.0784422259,5.4500000000,-2.5232575896,-0.3587249501,-0.3587249501,(-0-0.7455890837800685j),3.8537319575,-2.5232575896,-0.7174499002,-0.7174499002,-1.491178167560137j
110,-2.0784422259,5.5000000000,-2.5079131843,-0.3534994589,-0.3534994589,(-0-0.7347282021523158j),3.8890872965,-2.5079131843,-0.7069989177,-0.7069989177,-1.4694564043046316j
111,-2.0784422259,5.5500000000,-2.4925356469,-0.3481012300,-0.3481012300,(-0-0.7235082953887488j),3.9244426356,-2.4925356469,-0.6962024601,-0.6962024601,-1.4470165907774977j
112,-2.0784422259,5.6000000000,-2.4771324805,-0.3425466018,-0.3425466018,(-0-0.7119633215618403j),3.9597979746,-2.4771324805,-0.6850932036,-0.6850932036,-1.4239266431236806j
113,-2.0784422259,5.6500000000,-2.4617112300,-0.3368515734,-0.3368515734,(-0-0.7001265339801024j),3.9951533137,-2.4617112300,-0.6737031468,-0.6737031468,-1.4002530679602048j
114,-2.0784422259,5.7000000000,-2.4462793723,-0.3310313159,-0.3310313159,(-0-0.6880294651040693j),4.0305086528,-2.4462793723,-0.6620626318,-0.6620626318,-1.3760589302081385j
115,-2.0784422259,5.7500000000,-2.4308443370,-0.3251004606,-0.3251004606,(-0-0.6757025250451041j),4.0658639918,-2.4308443370,-0.6502009213,-0.6502009213,-1.3514050500902082j
116,-2.0784422259,5.8000000000,-2.4154134753,-0.3190731013,-0.3190731013,(-0-0.6631750069221218j),4.1012193309,-2.4154134753,-0.6381462026,-0.6381462026,-1.3263500138442437j
117,-2.0784422259,5.8500000000,-2.3999940321,-0.3129627972,-0.3129627972,(-0-0.6504750928359038j),4.1365746699,-2.3999940321,-0.6259255944,-0.6259255944,-1.3009501856718075j
118,-2.0784422259,5.9000000000,-2.3845932041,-0.3067823896,-0.3067823896,(-0-0.6376294727887056j),4.1719300090,-2.3845932041,-0.6135647793,-0.6135647793,-1.2752589455774113j
119,-2.0784422259,5.9500000000,-2.3692179105,-0.3005446446,-0.3005446446,(-0-0.6246646801557987j),4.2072853481,-2.3692179105,-0.6010892893,-0.6010892893,-1.2493293603115974j
120,-2.0784422259,6.0000000000,-2.3538749308,-0.2942615339,-0.2942615339,(-0-0.6116055975341236j),4.2426406871,-2.3538749308,-0.5885230678,-0.5885230678,-1.2232111950682472j
121,-2.0784422259,6.0500000000,-2.3385708508,-0.2879445087,-0.2879445087,(-0-0.5984760255703814j),4.2779960262,-2.3385708508,-0.5758890174,-0.5758890174,-1.1969520511407628j
122,-2.0784422259,6.1000000000,-2.3233120468,-0.2816045053,-0.2816045053,(-0-0.5852986947980097j),4.3133513652,-2.3233120468,-0.5632090106,-0.5632090106,-1.1705973895960193j
123,-2.0784422259,6.1500000000,-2.3081046719,-0.2752519503,-0.2752519503,(-0-0.5720952763555313j),4.3487067043,-2.3081046719,-0.5505039007,-0.5505039007,-1.1441905527110625j
