,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-1.6536524763,0.0000000000,-3.7949918499,1.2000000000,1.2000000000,1.9843829715738417j,0.0000000000,-3.7949918499,2.4000000000,2.4000000000,3.9687659431476834j
1,-1.6536524763,0.0500000000,-3.7943897570,1.1996480386,1.1996480386,1.9838009496876823j,0.0353553391,-3.7943897570,2.3992960771,2.3992960771,3.9676018993753646j
2,-1.6536524763,0.1000000000,-3.7925900328,1.1985951785,1.1985951785,1.9820598850899909j,0.0707106781,-3.7925900328,2.3971903571,2.3971903571,3.9641197701799817j
3,-1.6536524763,0.1500000000,-3.7895964605,1.1968412250,1.1968412250,1.9791594555069836j,0.1060660172,-3.7895964605,2.3936824500,2.3936824500,3.958318911013967j
4,-1.6536524763,0.2000000000,-3.7854153273,1.1943858605,1.1943858605,1.9750991358504382j,0.1414213562,-3.7854153273,2.3887717210,2.3887717210,3.9501982717008763j
5,-1.6536524763,0.2500000000,-3.7800554123,1.1912286549,1.1912286549,1.9698782149517022j,0.1767766953,-3.7800554123,2.3824573097,2.3824573097,3.9397564299034045j
6,-1.6536524763,0.3000000000,-3.7735277995,1.1873689758,1.1873689758,1.9634956470465985j,0.2121320344,-3.7735277995,2.3747379515,2.3747379515,3.926991294093197j
7,-1.6536524763,0.3500000000,-3.7658415227,1.1828033206,1.1828033206,1.9559456401734028j,0.2474873734,-3.7658415227,2.3656066413,2.3656066413,3.9118912803468056j
8,-1.6536524763,0.4000000000,-3.7570177234,1.1775340172,1.1775340172,1.9472320434835098j,0.2828427125,-3.7570177234,2.3550680344,2.3550680344,3.8944640869670195j
9,-1.6536524763,0.4500000000,-3.7470749643,1.1715603712,1.1715603712,1.9373537089467194j,0.3181980515,-3.7470749643,2.3431207424,2.3431207424,3.874707417893439j
10,-1.6536524763,0.5000000000,-3.7360341672,1.1648816918,1.1648816918,1.926309494178301j,0.3535533906,-3.7360341672,2.3297633835,2.3297633835,3.852618988356602j
11,-1.6536524763,0.5500000000,-3.7239185708,1.1574973287,1.1574973287,1.9140983239224452j,0.3889087297,-3.7239185708,2.3149946574,2.3149946574,3.8281966478448903j
12,-1.6536524763,0.6000000000,-3.7107533806,1.1494065054,1.1494065054,1.900718913910337j,0.4242640687,-3.7107533806,2.2988130108,2.2988130108,3.801437827820674j
13,-1.6536524763,0.6500000000,-3.6965625570,1.1406060860,1.1406060860,1.886166078683406j,0.4596194078,-3.6965625570,2.2812121721,2.2812121721,3.772332157366812j
14,-1.6536524763,0.7000000000,-3.6813803201,1.1310987249,1.1310987249,1.870444207416343j,0.4949747468,-3.6813803201,2.2621974498,2.2621974498,3.740888414832686j
15,-1.6536524763,0.7500000000,-3.6652386653,1.1208844140,1.1208844140,1.8535532868686164j,0.5303300859,-3.6652386653,2.2417688280,2.2417688280,3.707106573737233j
16,-1.6536524763,0.8000000000,-3.6481716052,1.1099634524,1.1099634524,1.8354938116085977j,0.5656854249,-3.6481716052,2.2199269047,2.2199269047,3.6709876232171954j
17,-1.6536524763,0.8500000000,-3.6302150902,1.0983365161,1.0983365161,1.8162668996111497j,0.6010407640,-3.6302150902,2.1966730321,2.1966730321,3.6325337992222995j
18,-1.6536524763,0.9000000000,-3.6114065626,1.0860044214,1.0860044214,1.7958739006683313j,0.6363961031,-3.6114065626,2.1720088427,2.1720088427,3.5917478013366626j
19,-1.6536524763,0.9500000000,-3.5917829197,1.0729663651,1.0729663651,1.7743134865647936j,0.6717514421,-3.5917829197,2.1459327301,2.1459327301,3.548626973129587j
20,-1.6536524763,1.0000000000,-3.5713887759,1.0592274327,1.0592274327,1.7515940670688857j,0.7071067812,-3.5713887759,2.1184548654,2.1184548654,3.5031881341377713j
21,-1.6536524763,1.0500000000,-3.5502669221,1.0447906279,1.0447906279,1.7277206090205512j,0.7424621202,-3.5502669221,2.0895812558,2.0895812558,3.4554412180411025j
22,-1.6536524763,1.1000000000,-3.5284615831,1.0296597630,1.0296597630,1.7026994168105527j,0.7778174593,-3.5284615831,2.0593195260,2.0593195260,3.4053988336211054j
23,-1.6536524763,1.1500000000,-3.5060182951,1.0138395592,1.0138395592,1.6765382976525716j,0.8131727984,-3.5060182951,2.0276791184,2.0276791184,3.353076595305143j
24,-1.6536524763,1.2000000000,-3.4829834527,0.9973353489,0.9973353489,1.6492460693587185j,0.8485281374,-3.4829834527,1.9946706977,1.9946706977,3.298492138717437j
25,-1.6536524763,1.2500000000,-3.4594032986,0.9801518391,0.9801518391,1.6208305158160863j,0.8838834765,-3.4594032986,1.9603036781,1.9603036781,3.2416610316321726j
26,-1.6536524763,1.3000000000,-3.4353287495,0.9622997302,0.9622997302,1.5913093317619968j,0.9192388155,-3.4353287495,1.9245994604,1.9245994604,3.1826186635239937j
27,-1.6536524763,1.3500000000,-3.4108092095,0.9437884465,0.9437884465,1.5606981015914543j,0.9545941546,-3.4108092095,1.8875768929,1.8875768929,3.1213962031829086j
28,-1.6536524763,1.4000000000,-3.3858946621,0.9246288507,0.9246288507,1.5290147885993537j,0.9899494937,-3.3858946621,1.8492577014,1.8492577014,3.0580295771987074j
29,-1.6536524763,1.4500000000,-3.3606355024,0.9048333470,0.9048333470,1.49627990495578j,1.0253048327,-3.3606355024,1.8096666940,1.8096666940,2.99255980991156j
30,-1.6536524763,1.5000000000,-3.3350821837,0.8844155305,0.8844155305,1.4625159321575218j,1.0606601718,-3.3350821837,1.7688310611,1.7688310611,2.9250318643150437j
31,-1.6536524763,1.5500000000,-3.3092849394,0.8633894893,0.8633894893,1.4277461669847815j,1.0960155108,-3.3092849394,1.7267789786,1.7267789786,2.855492333969563j
