,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.5606031441,0.0000000000,-5.8326471026,1.6000000000,1.6000000000,4.0969650306248j,0.0000000000,-5.8326471026,3.2000000000,3.2000000000,8.1939300612496j
1,-2.5606031441,0.0500000000,-5.8315759090,1.5995231532,1.5995231532,4.095744015087367j,0.0353553391,-5.8315759090,3.1990463063,3.1990463063,8.191488030174733j
2,-2.5606031441,0.1000000000,-5.8283809156,1.5980992990,1.5980992990,4.092098089562619j,0.0707106781,-5.8283809156,3.1961985979,3.1961985979,8.184196179125237j
3,-2.5606031441,0.1500000000,-5.8230587541,1.5957221493,1.5957221493,4.086011152787954j,0.1060660172,-5.8230587541,3.1914442987,3.1914442987,8.172022305575908j
4,-2.5606031441,0.2000000000,-5.8156249204,1.5923906574,1.5923906574,4.077480524029636j,0.1414213562,-5.8156249204,3.1847813148,3.1847813148,8.154961048059272j
5,-2.5606031441,0.2500000000,-5.8060972502,1.5881016867,1.5881016867,4.066498172211677j,0.1767766953,-5.8060972502,3.1762033734,3.1762033734,8.132996344423354j
6,-2.5606031441,0.3000000000,-5.7944883425,1.5828464288,1.5828464288,4.053041542193191j,0.2121320344,-5.7944883425,3.1656928575,3.1656928575,8.106083084386382j
7,-2.5606031441,0.3500000000,-5.7808349372,1.5766241360,1.5766241360,4.037108719846055j,0.2474873734,-5.7808349372,3.1532482721,3.1532482721,8.07421743969211j
8,-2.5606031441,0.4000000000,-5.7651528279,1.5694208753,1.5694208753,4.018664027851183j,0.2828427125,-5.7651528279,3.1388417507,3.1388417507,8.037328055702366j
9,-2.5606031441,0.4500000000,-5.7474876404,1.5612338780,1.5612338780,3.997700376636048j,0.3181980515,-5.7474876404,3.1224677559,3.1224677559,7.995400753272096j
10,-2.5606031441,0.5000000000,-5.7278718902,1.5520507663,1.5520507663,3.974186071948869j,0.3535533906,-5.7278718902,3.1041015325,3.1041015325,7.948372143897738j
11,-2.5606031441,0.5500000000,-5.7063486031,1.5418611392,1.5418611392,3.9480944807367413j,0.3889087297,-5.7063486031,3.0837222783,3.0837222783,7.896188961473483j
12,-2.5606031441,0.6000000000,-5.6829700603,1.5306564320,1.5306564320,3.919403672295406j,0.4242640687,-5.6829700603,3.0613128639,3.0613128639,7.838807344590812j
