,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.7388017587,0.0000000000,-5.5112670389,1.5000000000,1.5000000000,4.108202638082302j,0.0000000000,-5.5112670389,3.0000000000,3.0000000000,8.216405276164604j
1,-2.7388017587,0.0500000000,-5.5103272281,1.4996726247,1.4996726247,4.107306021920565j,0.0353553391,-5.5103272281,2.9993452493,2.9993452493,8.21461204384113j
2,-2.7388017587,0.1000000000,-5.5075173465,1.4986934755,1.4986934755,4.104624326358627j,0.0707106781,-5.5075173465,2.9973869509,2.9973869509,8.209248652717253j
3,-2.7388017587,0.1500000000,-5.5028378808,1.4970616727,1.4970616727,4.100155142157651j,0.1060660172,-5.5028378808,2.9941233454,2.9941233454,8.200310284315302j
4,-2.7388017587,0.2000000000,-5.4962959228,1.4947779422,1.4947779422,4.093900457007941j,0.1414213562,-5.4962959228,2.9895558844,2.9895558844,8.187800914015883j
5,-2.7388017587,0.2500000000,-5.4879058148,1.4918448703,1.4918448703,4.085867354426174j,0.1767766953,-5.4879058148,2.9836897405,2.9836897405,8.171734708852348j
6,-2.7388017587,0.3000000000,-5.4776729890,1.4882612232,1.4882612232,4.076052455404967j,0.2121320344,-5.4776729890,2.9765224463,2.9765224463,8.152104910809934j
7,-2.7388017587,0.3500000000,-5.4656208573,1.4840314510,1.4840314510,4.064467947870509j,0.2474873734,-5.4656208573,2.9680629019,2.9680629019,8.128935895741018j
8,-2.7388017587,0.4000000000,-5.4517648845,1.4791565525,1.4791565525,4.051116567472402j,0.2828427125,-5.4517648845,2.9583131050,2.9583131050,8.102233134944804j
9,-2.7388017587,0.4500000000,-5.4361259814,1.4736388253,1.4736388253,4.03600460642891j,0.3181980515,-5.4361259814,2.9472776506,2.9472776506,8.07200921285782j
10,-2.7388017587,0.5000000000,-5.4187326020,1.4674827058,1.4674827058,4.019144215634714j,0.3535533906,-5.4187326020,2.9349654117,2.9349654117,8.038288431269429j
11,-2.7388017587,0.5500000000,-5.3996047290,1.4606889474,1.4606889474,4.000537458124864j,0.3889087297,-5.3996047290,2.9213778948,2.9213778948,8.001074916249728j
12,-2.7388017587,0.6000000000,-5.3787785265,1.4532637001,1.4532637001,3.9802011777615594j,0.4242640687,-5.3787785265,2.9065274002,2.9065274002,7.960402355523119j
13,-2.7388017587,0.6500000000,-5.3562834966,1.4452101555,1.4452101555,3.9581441157346653j,0.4596194078,-5.3562834966,2.8904203111,2.8904203111,7.916288231469331j
14,-2.7388017587,0.7000000000,-5.3321532751,1.4365325449,1.4365325449,3.9343778603518857j,0.4949747468,-5.3321532751,2.8730650897,2.8730650897,7.8687557207037715j
15,-2.7388017587,0.7500000000,-5.3064289132,1.4272375250,1.4272375250,3.9089206437049406j,0.5303300859,-5.3064289132,2.8544750501,2.8544750501,7.817841287409881j
16,-2.7388017587,0.8000000000,-5.2791436817,1.4173283160,1.4173283160,3.8817812845507818j,0.5656854249,-5.2791436817,2.8346566320,2.8346566320,7.7635625691015635j
17,-2.7388017587,0.8500000000,-5.2503446885,1.4068132261,1.4068132261,3.852982537861869j,0.6010407640,-5.2503446885,2.8136264522,2.8136264522,7.705965075723738j
18,-2.7388017587,0.9000000000,-5.2200736964,1.3956981765,1.3956981765,3.822540620479207j,0.6363961031,-5.2200736964,2.7913963530,2.7913963530,7.645081240958414j
19,-2.7388017587,0.9500000000,-5.1883752494,1.3839899271,1.3839899271,3.790474046259606j,0.6717514421,-5.1883752494,2.7679798541,2.7679798541,7.580948092519212j
20,-2.7388017587,1.0000000000,-5.1553007132,1.3716979309,1.3716979309,3.7568087055822157j,0.7071067812,-5.1553007132,2.7433958618,2.7433958618,7.513617411164431j
21,-2.7388017587,1.0500000000,-5.1208945670,1.3588285678,1.3588285678,3.721562071362129j,0.7424621202,-5.1208945670,2.7176571357,2.7176571357,7.443124142724258j
22,-2.7388017587,1.1000000000,-5.0852123877,1.3453929577,1.3453929577,3.68476459884253j,0.7778174593,-5.0852123877,2.6907859155,2.6907859155,7.36952919768506j
23,-2.7388017587,1.1500000000,-5.0483056234,1.3314004630,1.3314004630,3.6464419296884123j,0.8131727984,-5.0483056234,2.6628009260,2.6628009260,7.292883859376825j
24,-2.7388017587,1.2000000000,-5.0102272154,1.3168611436,1.3168611436,3.6066216160042472j,0.8485281374,-5.0102272154,2.6337222871,2.6337222871,7.2132432320084945j
25,-2.7388017587,1.2500000000,-4.9710358568,1.3017879512,1.3017879512,3.5653391302292845j,0.8838834765,-4.9710358568,2.6035759024,2.6035759024,7.130678260458569j
26,-2.7388017587,1.3000000000,-4.9307843886,1.2861912408,1.2861912408,3.52262283236962j,0.9192388155,-4.9307843886,2.5723824816,2.5723824816,7.04524566473924j
27,-2.7388017587,1.3500000000,-4.8895337859,1.2700856809,1.2700856809,3.478512896694507j,0.9545941546,-4.8895337859,2.5401713619,2.5401713619,6.957025793389014j
28,-2.7388017587,1.4000000000,-4.8473418981,1.2534848265,1.2534848265,3.4330464473668836j,0.9899494937,-4.8473418981,2.5069696530,2.5069696530,6.866092894733767j
29,-2.7388017587,1.4500000000,-4.8042669373,1.2364028344,1.2364028344,3.386262257217457j,1.0253048327,-4.8042669373,2.4728056687,2.4728056687,6.772524514434914j
30,-2.7388017587,1.5000000000,-4.7603713592,1.2188568032,1.2188568032,3.338207156144303j,1.0606601718,-4.7603713592,2.4377136063,2.4377136063,6.676414312288606j
31,-2.7388017587,1.5500000000,-4.7157128761,1.2008617963,1.2008617963,3.2889223997934995j,1.0960155108,-4.7157128761,2.4017235927,2.4017235927,6.577844799586999j
32,-2.7388017587,1.6000000000,-4.6703543345,1.1824366290,1.1824366290,3.2384595190681105j,1.1313708499,-4.6703543345,2.3648732580,2.3648732580,6.476919038136221j
33,-2.7388017587,1.6500000000,-4.6243561719,1.1635995848,1.1635995848,3.186868589257492j,1.1667261890,-4.6243561719,2.3271991696,2.3271991696,6.373737178514984j
34,-2.7388017587,1.7000000000,-4.5777782946,1.1443694680,1.1443694680,3.1342011115841992j,1.2020815280,-4.5777782946,2.2887389360,2.2887389360,6.2684022231683985j
35,-2.7388017587,1.7500000000,-4.5306830021,1.1247678227,1.1247678227,3.0805160910883327j,1.2374368671,-4.5306830021,2.2495356455,2.2495356455,6.161032182176665j
36,-2.7388017587,1.8000000000,-4.4831289778,1.1048147504,1.1048147504,3.025868581543425j,1.2727922061,-4.4831289778,2.2096295009,2.2096295009,6.05173716308685j
37,-2.7388017587,1.8500000000,-4.4351772000,1.0845333459,1.0845333459,2.9703218350979843j,1.3081475452,-4.4351772000,2.1690666918,2.1690666918,5.940643670195969j
38,-2.7388017587,1.9000000000,-4.3868866501,1.0639465938,1.0639465938,2.9139388022101747j,1.3435028843,-4.3868866501,2.1278931875,2.1278931875,5.827877604420349j
39,-2.7388017587,1.9500000000,-4.3383151874,1.0430778945,1.0430778945,2.856783571954093j,1.3788582233,-4.3383151874,2.0861557890,2.0861557890,5.713567143908186j
40,-2.7388017587,2.0000000000,-4.2895210256,1.0219528360,1.0219528360,2.7989262246946076j,1.4142135624,-4.2895210256,2.0439056721,2.0439056721,5.597852449389215j
41,-2.7388017587,2.0500000000,-4.2405598724,1.0005961194,1.0005961194,2.7404344115452828j,1.4495689014,-4.2405598724,2.0011922388,2.0011922388,5.4808688230905656j
42,-2.7388017587,2.1000000000,-4.1914872458,0.9790344524,0.9790344524,2.6813812799603385j,1.4849242405,-4.1914872458,1.9580689047,1.9580689047,5.362762559920677j
43,-2.7388017587,2.1500000000,-4.1423568156,0.9572946014,0.9572946014,2.621840137889319j,1.5202795796,-4.1423568156,1.9145892028,1.9145892028,5.243680275778638j
44,-2.7388017587,2.2000000000,-4.0932208890,0.9354035997,0.9354035997,2.5618850240753415j,1.5556349186,-4.0932208890,1.8708071995,1.8708071995,5.123770048150683j
45,-2.7388017587,2.2500000000,-4.0441300993,0.9133897214,0.9133897214,2.5015933753325834j,1.5909902577,-4.0441300993,1.8267794428,1.8267794428,5.003186750665167j
46,-2.7388017587,2.3000000000,-3.9951336487,0.8912808190,0.8912808190,2.4410414745213966j,1.6263455967,-3.9951336487,1.7825616379,1.7825616379,4.882082949042793j
47,-2.7388017587,2.3500000000,-3.9462785895,0.8691055740,0.8691055740,2.3803078744854322j,1.6617009358,-3.9462785895,1.7382111479,1.7382111479,4.7606157489708645j
48,-2.7388017587,2.4000000000,-3.8976100989,0.8468926030,0.8468926030,2.319470950608809j,1.6970562748,-3.8976100989,1.6937852060,1.6937852060,4.638941901217618j
49,-2.7388017587,2.4500000000,-3.8491721182,0.8246706192,0.8246706192,2.2586093423587j,1.7324116139,-3.8491721182,1.6493412385,1.6493412385,4.5172186847174j
50,-2.7388017587,2.5000000000,-3.8010051054,0.8024682923,0.8024682923,2.1978015703485156j,1.7677669530,-3.8010051054,1.6049365847,1.6049365847,4.395603140697031j
51,-2.7388017587,2.5500000000,-3.7531491201,0.7803142363,0.7803142363,2.1371260027427867j,1.8031222920,-3.7531491201,1.5606284726,1.5606284726,4.2742520054855735j
52,-2.7388017587,2.6000000000,-3.7056407452,0.7582366504,0.7582366504,2.0766598715429527j,1.8384776311,-3.7056407452,1.5164733007,1.5164733007,4.1533197430859055j
53,-2.7388017587,2.6500000000,-3.6585145942,0.7362632987,0.7362632987,2.016479217378234j,1.8738329701,-3.6585145942,1.4725265974,1.4725265974,4.032958434756468j
54,-2.7388017587,2.7000000000,-3.6118045108,0.7144219208,0.7144219208,1.9566600132192227j,1.9091883092,-3.6118045108,1.4288438416,1.4288438416,3.9133200264384453j
55,-2.7388017587,2.7500000000,-3.5655394348,0.6927387622,0.6927387622,1.8972741402293487j,1.9445436483,-3.5655394348,1.3854775244,1.3854775244,3.7945482804586974j
56,-2.7388017587,2.8000000000,-3.5197488854,0.6712403178,0.6712403178,1.8383941629748048j,1.9798989873,-3.5197488854,1.3424806356,1.3424806356,3.6767883259496097j
57,-2.7388017587,2.8500000000,-3.4744582351,0.6499515490,0.6499515490,1.7800884455640886j,2.0152543264,-3.4744582351,1.2999030981,1.2999030981,3.5601768911281773j
58,-2.7388017587,2.9000000000,-3.4296908159,0.6288964887,0.6288964887,1.722422809379376j,2.0506096654,-3.4296908159,1.2577929775,1.2577929775,3.444845618758752j
59,-2.7388017587,2.9500000000,-3.3854699168,0.6080991636,0.6080991636,1.6654630586722623j,2.0859650045,-3.3854699168,1.2161983271,1.2161983271,3.3309261173445246j
60,-2.7388017587,3.0000000000,-3.3418129827,0.5875807285,0.5875807285,1.609267132593028j,2.1213203436,-3.3418129827,1.1751614570,1.1751614570,3.218534265186056j
61,-2.7388017587,3.0500000000,-3.2987389317,0.5673628945,0.5673628945,1.5538944931653194j,2.1566756826,-3.2987389317,1.1347257889,1.1347257889,3.1077889863306387j
62,-2.7388017587,3.1000000000,-3.2562624503,0.5474650322,0.5474650322,1.4993981931570584j,2.1920310217,-3.2562624503,1.0949300645,1.0949300645,2.9987963863141167j
63,-2.7388017587,3.1500000000,-3.2143961849,0.5279051200,0.5279051200,1.445827471170477j,2.2273863607,-3.2143961849,1.0558102401,1.0558102401,2.891654942340954j
64,-2.7388017587,3.2000000000,-3.1731536069,0.5087013469,0.5087013469,1.3932321436843507j,2.2627416998,-3.1731536069,1.0174026939,1.0174026939,2.7864642873687013j
65,-2.7388017587,3.2500000000,-3.1325418826,0.4898679496,0.4898679496,1.3416512019645066j,2.2980970389,-3.1325418826,0.9797358992,0.9797358992,2.683302403929013j
66,-2.7388017587,3.3000000000,-3.0925704176,0.4714200694,0.4714200694,1.2911261151262134j,2.3334523779,-3.0925704176,0.9428401388,0.9428401388,2.582252230252427j
67,-2.7388017587,3.3500000000,-3.0532447389,0.4533701232,0.4533701232,1.2416908906436963j,2.3688077170,-3.0532447389,0.9067402463,0.9067402463,2.4833817812873926j
68,-2.7388017587,3.4000000000,-3.0145684102,0.4357288184,0.4357288184,1.1933748542286842j,2.4041630560,-3.0145684102,0.8714576369,0.8714576369,2.3867497084573683j
69,-2.7388017587,3.4500000000,-2.9765466936,0.4185074795,0.4185074795,1.1462090209895084j,2.4395183951,-2.9765466936,0.8370149591,0.8370149591,2.2924180419790168j
70,-2.7388017587,3.5000000000,-2.9391784885,0.4017128273,0.4017128273,1.1002117979859445j,2.4748737342,-2.9391784885,0.8034256547,0.8034256547,2.200423595971889j
71,-2.7388017587,3.5500000000,-2.9024655251,0.3853528705,0.3853528705,1.055405119533865j,2.5102290732,-2.9024655251,0.7707057411,0.7707057411,2.11081023906773j
72,-2.7388017587,3.6000000000,-2.8664062715,0.3694329267,0.3694329267,1.0118035494673734j,2.5455844123,-2.8664062715,0.7388658535,0.7388658535,2.0236070989347468j
73,-2.7388017587,3.6500000000,-2.8309973552,0.3539564813,0.3539564813,0.9694166335858332j,2.5809397513,-2.8309973552,0.7079129627,0.7079129627,1.9388332671716664j
74,-2.7388017587,3.7000000000,-2.7962378679,0.3389281520,0.3389281520,0.9282570188250426j,2.6162950904,-2.7962378679,0.6778563040,0.6778563040,1.8565140376500853j
75,-2.7388017587,3.7500000000,-2.7621207662,0.3243477467,0.3243477467,0.888324179014484j,2.6516504294,-2.7621207662,0.6486954933,0.6486954933,1.776648358028968j
76,-2.7388017587,3.8000000000,-2.7286422272,0.3102167286,0.3102167286,0.8496221217779512j,2.6870057685,-2.7286422272,0.6204334571,0.6204334571,1.6992442435559023j
77,-2.7388017587,3.8500000000,-2.6957958818,0.2965342196,0.2965342196,0.8121484421659618j,2.7223611076,-2.6957958818,0.5930684392,0.5930684392,1.6242968843319237j
78,-2.7388017587,3.9000000000,-2.6635736540,0.2832975593,0.2832975593,0.7758958535259879j,2.7577164466,-2.6635736540,0.5665951185,0.5665951185,1.5517917070519758j
79,-2.7388017587,3.9500000000,-2.6319705151,0.2705057329,0.2705057329,0.7408615770801247j,2.7930717857,-2.6319705151,0.5410114659,0.5410114659,1.4817231541602494j
80,-2.7388017587,4.0000000000,-2.6009756974,0.2581530763,0.2581530763,0.7070300994159507j,2.8284271247,-2.6009756974,0.5163061526,0.5163061526,1.4140601988319015j
81,-2.7388017587,4.0500000000,-2.5705818407,0.2462358699,0.2462358699,0.6743912334940584j,2.8637824638,-2.5705818407,0.4924717398,0.4924717398,1.3487824669881168j
82,-2.7388017587,4.1000000000,-2.5407797327,0.2347485747,0.2347485747,0.6429298092409647j,2.8991378029,-2.5407797327,0.4694971494,0.4694971494,1.2858596184819293j
83,-2.7388017587,4.1500000000,-2.5115585912,0.2236840476,0.2236840476,0.6126262628919911j,2.9344931419,-2.5115585912,0.4473680951,0.4473680951,1.2252525257839821j
84,-2.7388017587,4.2000000000,-2.4829109795,0.2130371475,0.2130371475,0.5834665142341098j,2.9698484810,-2.4829109795,0.4260742950,0.4260742950,1.1669330284682196j
85,-2.7388017587,4.2500000000,-2.4548243071,0.2027985744,0.2027985744,0.555425092320524j,3.0052038200,-2.4548243071,0.4055971489,0.4055971489,1.110850184641048j
86,-2.7388017587,4.3000000000,-2.4272893236,0.1929610831,0.1929610831,0.5284821537424526j,3.0405591591,-2.4272893236,0.3859221662,0.3859221662,1.056964307484905j
87,-2.7388017587,4.3500000000,-2.4002955490,0.1835161829,0.1835161829,0.5026144445735163j,3.0759144982,-2.4002955490,0.3670323659,0.3670323659,1.0052288891470327j
88,-2.7388017587,4.4000000000,-2.3738310879,0.1744540436,0.1744540436,0.47779504139819606j,3.1112698372,-2.3738310879,0.3489080872,0.3489080872,0.9555900827963921j
89,-2.7388017587,4.4500000000,-2.3478873066,0.1657668990,0.1657668990,0.4540026744893176j,3.1466251763,-2.3478873066,0.3315337980,0.3315337980,0.9080053489786352j
90,-2.7388017587,4.5000000000,-2.3224512961,0.1574436455,0.1574436455,0.431206933282747j,3.1819805153,-2.3224512961,0.3148872911,0.3148872911,0.862413866565494j
91,-2.7388017587,4.5500000000,-2.2975130959,0.1494750730,0.1494750730,0.4093825927107888j,3.2173358544,-2.2975130959,0.2989501459,0.2989501459,0.8187651854215776j
92,-2.7388017587,4.6000000000,-2.2730620671,0.1418512785,0.1418512785,0.38850253102651294j,3.2526911935,-2.2730620671,0.2837025570,0.2837025570,0.7770050620530259j
93,-2.7388017587,4.6500000000,-2.2490862673,0.1345612766,0.1345612766,0.36853666105059796j,3.2880465325,-2.2490862673,0.2691225532,0.2691225532,0.7370733221011959j
94,-2.7388017587,4.7000000000,-2.2255768333,0.1275960929,0.1275960929,0.34946040361397124j,3.3234018716,-2.2255768333,0.2551921858,0.2551921858,0.6989208072279425j
95,-2.7388017587,4.7500000000,-2.2025213921,0.1209441906,0.1209441906,0.33124216193690875j,3.3587572106,-2.2025213921,0.2418883812,0.2418883812,0.6624843238738175j
96,-2.7388017587,4.8000000000,-2.1799100960,0.1145956998,0.1145956998,0.3138549042300719j,3.3941125497,-2.1799100960,0.2291913997,0.2291913997,0.6277098084601438j
97,-2.7388017587,4.8500000000,-2.1577328406,0.1085404947,0.1085404947,0.2972708978700611j,3.4294678888,-2.1577328406,0.2170809895,0.2170809895,0.5945417957401222j
98,-2.7388017587,4.9000000000,-2.1359782938,0.1027675904,0.1027675904,0.28146005743663915j,3.4648232278,-2.1359782938,0.2055351809,0.2055351809,0.5629201148732783j
99,-2.7388017587,4.9500000000,-2.1146379632,0.0972678689,0.0972678689,0.26639741028382374j,3.5001785669,-2.1146379632,0.1945357377,0.1945357377,0.5327948205676475j
100,-2.7388017587,5.0000000000,-2.0937004884,0.0920303173,0.0920303173,0.2520527948538466j,3.5355339059,-2.0937004884,0.1840606346,0.1840606346,0.5041055897076931j
101,-2.7388017587,5.0500000000,-2.0731566179,0.0870453321,0.0870453321,0.23839990859303575j,3.5708892450,-2.0731566179,0.1740906642,0.1740906642,0.4767998171860715j
102,-2.7388017587,5.1000000000,-2.0529971521,0.0823033631,0.0823033631,0.22541259569882469j,3.6062445841,-2.0529971521,0.1646067263,0.1646067263,0.45082519139764937j
103,-2.7388017587,5.1500000000,-2.0332117151,0.0777941837,0.0777941837,0.2130628472219544j,3.6415999231,-2.0332117151,0.1555883675,0.1555883675,0.4261256944439088j
104,-2.7388017587,5.2000000000,-2.0137925071,0.0735092311,0.0735092311,0.20132721155175837j,3.6769552622,-2.0137925071,0.1470184623,0.1470184623,0.40265442310351673j
105,-2.7388017587,5.2500000000,-1.9947293869,0.0694385873,0.0694385873,0.19017852507391222j,3.7123106012,-1.9947293869,0.1388771746,0.1388771746,0.38035705014782445j
106,-2.7388017587,5.3000000000,-1.9760139358,0.0655734835,0.0655734835,0.17959277204952676j,3.7476659403,-1.9760139358,0.1311469671,0.1311469671,0.3591855440990535j
107,-2.7388017587,5.3500000000,-1.9576380063,0.0619054001,0.0619054001,0.1695466186091222j,3.7830212793,-1.9576380063,0.1238108002,0.1238108002,0.3390932372182444j
108,-2.7388017587,5.4000000000,-1.9395923116,0.0584252842,0.0584252842,0.16001527118448866j,3.8183766184,-1.9395923116,0.1168505684,0.1168505684,0.3200305423689773j
109,-2.7388017587,5.4500000000,-1.9218698758,0.0551255173,0.0551255173,0.150977863830908j,3.8537319575,-1.9218698758,0.1102510347,0.1102510347,0.301955727661816j
110,-2.7388017587,5.5000000000,-1.9044618104,0.0519975404,0.0519975404,0.1424109550596284j,3.8890872965,-1.9044618104,0.1039950808,0.1039950808,0.2848219101192568j
111,-2.7388017587,5.5500000000,-1.8873606047,0.0490337030,0.0490337030,0.13429359208101202j,3.9244426356,-1.8873606047,0.0980674060,0.0980674060,0.26858718416202404j
112,-2.7388017587,5.6000000000,-1.8705591711,0.0462267088,0.0462267088,0.12660579136975886j,3.9597979746,-1.8705591711,0.0924534176,0.0924534176,0.2532115827395177j
113,-2.7388017587,5.6500000000,-1.8540493130,0.0435688398,0.0435688398,0.11932641516299722j,3.9951533137,-1.8540493130,0.0871376797,0.0871376797,0.23865283032599444j
114,-2.7388017587,5.7000000000,-1.8378248932,0.0410535801,0.0410535801,0.11243761733095504j,4.0305086528,-1.8378248932,0.0821071602,0.0821071602,0.2248752346619101j
115,-2.7388017587,5.7500000000,-1.8218782095,0.0386737804,0.0386737804,0.10591981770813969j,4.0658639918,-1.8218782095,0.0773475608,0.0773475608,0.21183963541627937j
116,-2.7388017587,5.8000000000,-1.8062026388,0.0364229904,0.0364229904,0.09975535020642427j,4.1012193309,-1.8062026388,0.0728459808,0.0728459808,0.19951070041284855j
117,-2.7388017587,5.8500000000,-1.7907920850,0.0342951536,0.0342951536,0.09392762687024146j,4.1365746699,-1.7907920850,0.0685903071,0.0685903071,0.18785525374048292j
118,-2.7388017587,5.9000000000,-1.7756393703,0.0322838783,0.0322838783,0.08841914267717323j,4.1719300090,-1.7756393703,0.0645677566,0.0645677566,0.17683828535434645j
119,-2.7388017587,5.9500000000,-1.7607391463,0.0303837573,0.0303837573,0.0832150879222853j,4.2072853481,-1.7607391463,0.0607675146,0.0607675146,0.1664301758445706j
120,-2.7388017587,6.0000000000,-1.7460847823,0.0285889703,0.0285889703,0.07829952215590547j,4.2426406871,-1.7460847823,0.0571779406,0.0571779406,0.15659904431181093j
121,-2.7388017587,6.0500000000,-1.7316704734,0.0268942216,0.0268942216,0.07365794137006967j,4.2779960262,-1.7316704734,0.0537884432,0.0537884432,0.14731588274013935j
122,-2.7388017587,6.1000000000,-1.7174910106,0.0252946058,0.0252946058,0.06927691085696358j,4.3133513652,-1.7174910106,0.0505892116,0.0505892116,0.13855382171392716j
123,-2.7388017587,6.1500000000,-1.7035401307,0.0237849506,0.0237849506,0.06514226451883687j,4.3487067043,-1.7035401307,0.0475699012,0.0475699012,0.13028452903767374j
124,-2.7388017587,6.2000000000,-1.6898131948,0.0223608740,0.0223608740,0.061242000925178806j,4.3840620434,-1.6898131948,0.0447217479,0.0447217479,0.12248400185035761j
125,-2.7388017587,6.2500000000,-1.6763045121,0.0210177345,0.0210177345,0.057563408076066976j,4.4194173824,-1.6763045121,0.0420354689,0.0420354689,0.11512681615213395j
126,-2.7388017587,6.3000000000,-1.6630090062,0.0197512756,0.0197512756,0.054094828256360264j,4.4547727215,-1.6630090062,0.0395025511,0.0395025511,0.10818965651272053j
127,-2.7388017587,6.3500000000,-1.6499222406,0.0185576025,0.0185576025,0.05082559423972427j,4.4901280605,-1.6499222406,0.0371152049,0.0371152049,0.10165118847944854j
128,-2.7388017587,6.4000000000,-1.6370387540,0.0174326069,0.0174326069,0.047744454407706895j,4.5254833996,-1.6370387540,0.0348652138,0.0348652138,0.09548890881541379j
129,-2.7388017587,6.4500000000,-1.6243545280,0.0163728051,0.0163728051,0.04484186753994606j,4.5608387387,-1.6243545280,0.0327456103,0.0327456103,0.08968373507989212j
130,-2.7388017587,6.5000000000,-1.6118646824,0.0153745580,0.0153745580,0.042107866468662915j,4.5961940777,-1.6118646824,0.0307491160,0.0307491160,0.08421573293732583j
131,-2.7388017587,6.5500000000,-1.5995647758,0.0144345029,0.0144345029,0.03953324202779261j,4.6315494168,-1.5995647758,0.0288690059,0.0288690059,0.07906648405558522j
132,-2.7388017587,6.6000000000,-1.5874510335,0.0135495974,0.0135495974,0.03710966122029293j,4.6669047558,-1.5874510335,0.0270991948,0.0270991948,0.07421932244058586j
133,-2.7388017587,6.6500000000,-1.5755186871,0.0127166284,0.0127166284,0.034828324231322316j,4.7022600949,-1.5755186871,0.0254332568,0.0254332568,0.06965664846264463j
134,-2.7388017587,6.7000000000,-1.5637642527,0.0119328696,0.0119328696,0.032681764176829005j,4.7376154339,-1.5637642527,0.0238657391,0.0238657391,0.06536352835365801j
135,-2.7388017587,6.7500000000,-1.5521835417,0.0111955075,0.0111955075,0.030662275551345024j,4.7729707730,-1.5521835417,0.0223910149,0.0223910149,0.06132455110269005j
