,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-1.9310318904,0.0000000000,-3.8758563541,1.2000000000,1.2000000000,2.3172382684299118j,0.0000000000,-3.8758563541,2.4000000000,2.4000000000,4.6344765368598235j
1,-1.9310318904,0.0500000000,-3.8752544167,1.1997467556,1.1997467556,2.3167492454235035j,0.0353553391,-3.8752544167,2.3994935112,2.3994935112,4.633498490847007j
2,-1.9310318904,0.1000000000,-3.8734560214,1.1989899416,1.1989899416,2.315287813444894j,0.0707106781,-3.8734560214,2.3979798832,2.3979798832,4.630575626889788j
3,-1.9310318904,0.1500000000,-3.8704614425,1.1977290713,1.1977290713,2.3128530326079226j,0.1060660172,-3.8704614425,2.3954581425,2.3954581425,4.625706065215845j
4,-1.9310318904,0.2000000000,-3.8662736103,1.1959643740,1.1959643740,2.309445345922056j,0.1414213562,-3.8662736103,2.3919287480,2.3919287480,4.618890691844112j
5,-1.9310318904,0.2500000000,-3.8609028702,1.1936988224,1.1936988224,2.305070493548378j,0.1767766953,-3.8609028702,2.3873976448,2.3873976448,4.610140987096756j
6,-1.9310318904,0.3000000000,-3.8543525166,1.1909320151,1.1909320151,2.299727700397585j,0.2121320344,-3.8543525166,2.3818640302,2.3818640302,4.59945540079517j
7,-1.9310318904,0.3500000000,-3.8466356418,1.1876673340,1.1876673340,2.293423497110056j,0.2474873734,-3.8466356418,2.3753346680,2.3753346680,4.586846994220112j
8,-1.9310318904,0.4000000000,-3.8377645871,1.1839074922,1.1839074922,2.2861631226316286j,0.2828427125,-3.8377645871,2.3678149844,2.3678149844,4.572326245263257j
9,-1.9310318904,0.4500000000,-3.8277480582,1.1796532749,1.1796532749,2.2779480933178444j,0.3181980515,-3.8277480582,2.3593065497,2.3593065497,4.555896186635689j
10,-1.9310318904,0.5000000000,-3.8166064483,1.1749101819,1.1749101819,2.2687890295856445j,0.3535533906,-3.8166064483,2.3498203638,2.3498203638,4.537578059171289j
11,-1.9310318904,0.5500000000,-3.8043533225,1.1696804437,1.1696804437,2.2586902382818255j,0.3889087297,-3.8043533225,2.3393608874,2.3393608874,4.517380476563651j
12,-1.9310318904,0.6000000000,-3.7910070094,1.1639680614,1.1639680614,2.2476594458743815j,0.4242640687,-3.7910070094,2.3279361228,2.3279361228,4.495318891748763j
13,-1.9310318904,0.6500000000,-3.7765902049,1.1577787131,1.1577787131,2.2357076170683357j,0.4596194078,-3.7765902049,2.3155574263,2.3155574263,4.471415234136671j
14,-1.9310318904,0.7000000000,-3.7611191984,1.1511149548,1.1511149548,2.2228396871209584j,0.4949747468,-3.7611191984,2.3022299095,2.3022299095,4.445679374241917j
15,-1.9310318904,0.7500000000,-3.7446211052,1.1439839851,1.1439839851,2.2090695573700843j,0.5303300859,-3.7446211052,2.2879679703,2.2879679703,4.4181391147401685j
16,-1.9310318904,0.8000000000,-3.7271193196,1.1363911491,1.1363911491,2.194407548783888j,0.5656854249,-3.7271193196,2.2727822981,2.2727822981,4.388815097567776j
17,-1.9310318904,0.8500000000,-3.7086368033,1.1283413915,1.1283413915,2.1788632101514183j,0.6010407640,-3.7086368033,2.2566827830,2.2566827830,4.3577264203028365j
18,-1.9310318904,0.9000000000,-3.6892042971,1.1198431623,1.1198431623,2.1624528586857648j,0.6363961031,-3.6892042971,2.2396863247,2.2396863247,4.3249057173715295j
19,-1.9310318904,0.9500000000,-3.6688466276,1.1109020260,1.1109020260,2.1451872392574187j,0.6717514421,-3.6688466276,2.2218040520,2.2218040520,4.290374478514837j
20,-1.9310318904,1.0000000000,-3.6475943518,1.1015261998,1.1015261998,2.1270822197963013j,0.7071067812,-3.6475943518,2.2030523995,2.2030523995,4.254164439592603j
21,-1.9310318904,1.0500000000,-3.6254794078,1.0917245841,1.0917245841,2.108154987419454j,0.7424621202,-3.6254794078,2.1834491682,2.1834491682,4.216309974838908j
22,-1.9310318904,1.1000000000,-3.6025286153,1.0815035147,1.0815035147,2.0884177764882965j,0.7778174593,-3.6025286153,2.1630070295,2.1630070295,4.176835552976593j
23,-1.9310318904,1.1500000000,-3.5787786729,1.0708743300,1.0708743300,2.067892481744376j,0.8131727984,-3.5787786729,2.1417486599,2.1417486599,4.135784963488752j
24,-1.9310318904,1.2000000000,-3.5542609447,1.0598457755,1.0598457755,2.046595991330994j,0.8485281374,-3.5542609447,2.1196915510,2.1196915510,4.093191982661988j
25,-1.9310318904,1.2500000000,-3.5290083885,1.0484275020,1.0484275020,2.0245469410407755j,0.8838834765,-3.5290083885,2.0968550039,2.0968550039,4.049093882081551j
26,-1.9310318904,1.3000000000,-3.5030579113,1.0366314493,1.0366314493,2.0017683872185104j,0.9192388155,-3.5030579113,2.0732628987,2.0732628987,4.003536774437021j
27,-1.9310318904,1.3500000000,-3.4764418534,1.0244672809,1.0244672809,1.9782789900386761j,0.9545941546,-3.4764418534,2.0489345618,2.0489345618,3.9565579800773523j
28,-1.9310318904,1.4000000000,-3.4491977464,1.0119477594,1.0119477594,1.954103394852417j,0.9899494937,-3.4491977464,2.0238955189,2.0238955189,3.908206789704834j
29,-1.9310318904,1.4500000000,-3.4213619242,0.9990853138,0.9990853138,1.9292656021731798j,1.0253048327,-3.4213619242,1.9981706276,1.9981706276,3.8585312043463595j
30,-1.9310318904,1.5000000000,-3.3929685932,0.9858914175,0.9858914175,1.9037877676466586j,1.0606601718,-3.3929685932,1.9717828350,1.9717828350,3.807575535293317j
31,-1.9310318904,1.5500000000,-3.3640569800,0.9723809143,0.9723809143,1.8776985551549907j,1.0960155108,-3.3640569800,1.9447618287,1.9447618287,3.7553971103099815j
32,-1.9310318904,1.6000000000,-3.3346624556,0.9585667438,0.9585667438,1.8510229513012688j,1.1313708499,-3.3346624556,1.9171334876,1.9171334876,3.7020459026025376j
33,-1.9310318904,1.6500000000,-3.3048220300,0.9444632886,0.9444632886,1.8237887296258026j,1.1667261890,-3.3048220300,1.8889265773,1.8889265773,3.6475774592516053j
34,-1.9310318904,1.7000000000,-3.2745736391,0.9300860812,0.9300860812,1.7960258835575797j,1.2020815280,-3.2745736391,1.8601721624,1.8601721624,3.5920517671151595j
35,-1.9310318904,1.7500000000,-3.2439522123,0.9154491405,0.9154491405,1.7677614843532403j,1.2374368671,-3.2439522123,1.8308982810,1.8308982810,3.5355229687064806j
36,-1.9310318904,1.8000000000,-3.2129958691,0.9005692810,0.9005692810,1.7390280010534167j,1.2727922061,-3.2129958691,1.8011385620,1.8011385620,3.4780560021068334j
37,-1.9310318904,1.8500000000,-3.1817405408,0.8854624285,0.8854624285,1.7098561871642266j,1.3081475452,-3.1817405408,1.7709248570,1.7709248570,3.419712374328453j
38,-1.9310318904,1.9000000000,-3.1502214914,0.8701446068,0.8701446068,1.680276984968604j,1.3435028843,-3.1502214914,1.7402892136,1.7402892136,3.360553969937208j
39,-1.9310318904,1.9500000000,-3.1184751821,0.8546335534,0.8546335534,1.6503246461649106j,1.3788582233,-3.1184751821,1.7092671068,1.7092671068,3.300649292329821j
40,-1.9310318904,2.0000000000,-3.0865358111,0.8389458789,0.8389458789,1.6200312463724673j,1.4142135624,-3.0865358111,1.6778917577,1.6778917577,3.2400624927449346j
41,-1.9310318904,2.0500000000,-3.0544380579,0.8230994290,0.8230994290,1.589431246285579j,1.4495689014,-3.0544380579,1.6461988579,1.6461988579,3.178862492571158j
42,-1.9310318904,2.1000000000,-3.0222157755,0.8071122600,0.8071122600,1.5585595131299754j,1.4849242405,-3.0222157755,1.6142245200,1.6142245200,3.117119026259951j
43,-1.9310318904,2.1500000000,-2.9899013959,0.7910017511,0.7910017511,1.5274496066617085j,1.5202795796,-2.9899013959,1.5820035022,1.5820035022,3.054899213323417j
44,-1.9310318904,2.2000000000,-2.9575275170,0.7747867594,0.7747867594,1.4961379406411761j,1.5556349186,-2.9575275170,1.5495735188,1.5495735188,2.9922758812823522j
45,-1.9310318904,2.2500000000,-2.9251252220,0.7584853711,0.7584853711,1.464659439915261j,1.5909902577,-2.9251252220,1.5169707421,1.5169707421,2.929318879830522j
46,-1.9310318904,2.3000000000,-2.8927248904,0.7421159417,0.7421159417,1.4330495497411817j,1.6263455967,-2.8927248904,1.4842318834,1.4842318834,2.8660990994823634j
47,-1.9310318904,2.3500000000,-2.8603557992,0.7256970861,0.7256970861,1.4013442160354612j,1.6617009358,-2.8603557992,1.4513941722,1.4513941722,2.8026884320709224j
48,-1.9310318904,2.4000000000,-2.8280464794,0.7092470513,0.7092470513,1.3695786742116678j,1.6970562748,-2.8280464794,1.4184941026,1.4184941026,2.7391573484233356j
49,-1.9310318904,2.4500000000,-2.7958240431,0.6927842644,0.6927842644,1.3377885077656613j,1.7324116139,-2.7958240431,1.3855685289,1.3855685289,2.6755770155313225j
50,-1.9310318904,2.5000000000,-2.7637145315,0.6763268689,0.6763268689,1.306008752177298j,1.7677669530,-2.7637145315,1.3526537378,1.3526537378,2.612017504354596j
51,-1.9310318904,2.5500000000,-2.7317435139,0.6598929589,0.6598929589,1.2742743478881893j,1.8031222920,-2.7317435139,1.3197859178,1.3197859178,2.5485486957763785j
52,-1.9310318904,2.6000000000,-2.6999341810,0.6435001586,0.6435001586,1.2426193277678759j,1.8384776311,-2.6999341810,1.2870003173,1.2870003173,2.4852386555357517j
53,-1.9310318904,2.6500000000,-2.6683096614,0.6271660372,0.6271660372,1.2110776183202137j,1.8738329701,-2.6683096614,1.2543320743,1.2543320743,2.4221552366404273j
54,-1.9310318904,2.7000000000,-2.6368914437,0.6109077241,0.6109077241,1.1796822973762653j,1.9091883092,-2.6368914437,1.2218154483,1.2218154483,2.3593645947525306j
55,-1.9310318904,2.7500000000,-2.6056991908,0.5947416730,0.5947416730,1.1484651369923475j,1.9445436483,-2.6056991908,1.1894833459,1.1894833459,2.296930273984695j
56,-1.9310318904,2.8000000000,-2.5747531188,0.5786846458,0.5786846458,1.1174585055859623j,1.9798989873,-2.5747531188,1.1573692917,1.1573692917,2.2349170111719245j
57,-1.9310318904,2.8500000000,-2.5440700129,0.5627519361,0.5627519361,1.0866919349974131j,2.0152543264,-2.5440700129,1.1255038722,1.1255038722,2.1733838699948262j
58,-1.9310318904,2.9000000000,-2.5136666771,0.5469588312,0.5469588312,1.056194945730205j,2.0506096654,-2.5136666771,1.0939176624,1.0939176624,2.11238989146041j
59,-1.9310318904,2.9500000000,-2.4835592731,0.5313203623,0.5313203623,1.0259965635687078j,2.0859650045,-2.4835592731,1.0626407246,1.0626407246,2.0519931271374157j
60,-1.9310318904,3.0000000000,-2.4537608116,0.5158498997,0.5158498997,0.9961226069820521j,2.1213203436,-2.4537608116,1.0316997994,1.0316997994,1.9922452139641043j
61,-1.9310318904,3.0500000000,-2.4242854191,0.5005614005,0.5005614005,0.9666000273733268j,2.1566756826,-2.4242854191,1.0011228009,1.0011228009,1.9332000547466537j
62,-1.9310318904,3.1000000000,-2.3951444806,0.4854672653,0.4854672653,0.9374527709664267j,2.1920310217,-2.3951444806,0.9709345305,0.9709345305,1.8749055419328533j
63,-1.9310318904,3.1500000000,-2.3663480852,0.4705790513,0.4705790513,0.9087031550908874j,2.2273863607,-2.3663480852,0.9411581027,0.9411581027,1.8174063101817748j
64,-1.9310318904,3.2000000000,-2.3379077100,0.4559091077,0.4559091077,0.8803750261031755j,2.2627416998,-2.3379077100,0.9118182154,0.9118182154,1.760750052206351j
65,-1.9310318904,3.2500000000,-2.3098300166,0.4414667364,0.4414667364,0.85248634658247j,2.2980970389,-2.3098300166,0.8829334729,0.8829334729,1.70497269316494j
66,-1.9310318904,3.3000000000,-2.2821232838,0.4272621098,0.4272621098,0.8250567595004947j,2.3334523779,-2.2821232838,0.8545242195,0.8545242195,1.6501135190009895j
67,-1.9310318904,3.3500000000,-2.2547944531,0.4133044413,0.4133044413,0.7981040565971643j,2.3688077170,-2.2547944531,0.8266088826,0.8266088826,1.5962081131943286j
68,-1.9310318904,3.4000000000,-2.2278478052,0.3996010380,0.3996010380,0.771642347855807j,2.4041630560,-2.2278478052,0.7992020761,0.7992020761,1.543284695711614j
69,-1.9310318904,3.4500000000,-2.2012895542,0.3861603346,0.3861603346,0.7456879209801619j,2.4395183951,-2.2012895542,0.7723206693,0.7723206693,1.4913758419603238j
70,-1.9310318904,3.5000000000,-2.1751222723,0.3729881313,0.3729881313,0.7202519762052536j,2.4748737342,-2.1751222723,0.7459762625,0.7459762625,1.4405039524105072j
71,-1.9310318904,3.5500000000,-2.1493486383,0.3600900813,0.3600900813,0.6953454304738219j,2.5102290732,-2.1493486383,0.7201801627,0.7201801627,1.3906908609476438j
72,-1.9310318904,3.6000000000,-2.1239722245,0.3474722782,0.3474722782,0.6709800502301558j,2.5455844123,-2.1239722245,0.6949445564,0.6949445564,1.3419601004603117j
73,-1.9310318904,3.6500000000,-2.0989924863,0.3351376891,0.3351376891,0.6471615654059548j,2.5809397513,-2.0989924863,0.6702753783,0.6702753783,1.2943231308119096j
74,-1.9310318904,3.7000000000,-2.0744111208,0.3230906451,0.3230906451,0.6238983390832923j,2.6162950904,-2.0744111208,0.6461812901,0.6461812901,1.2477966781665846j
75,-1.9310318904,3.7500000000,-2.0502279229,0.3113338870,0.3113338870,0.6011956642961891j,2.6516504294,-2.0502279229,0.6226677739,0.6226677739,1.2023913285923782j
76,-1.9310318904,3.8000000000,-2.0264411244,0.2998687649,0.2998687649,0.5790561479296414j,2.6870057685,-2.0264411244,0.5997375298,0.5997375298,1.1581122958592829j
77,-1.9310318904,3.8500000000,-2.0030513247,0.2886981411,0.2886981411,0.5574853170567737j,2.7223611076,-2.0030513247,0.5773962821,0.5773962821,1.1149706341135475j
78,-1.9310318904,3.9000000000,-1.9800549310,0.2778215284,0.2778215284,0.5364822311689801j,2.7577164466,-1.9800549310,0.5556430568,0.5556430568,1.0729644623379602j
79,-1.9310318904,3.9500000000,-1.9574499292,0.2672393636,0.2672393636,0.5160477334974634j,2.7930717857,-1.9574499292,0.5344787272,0.5344787272,1.0320954669949267j
80,-1.9310318904,4.0000000000,-1.9352344118,0.2569519349,0.2569519349,0.49618238055897795j,2.8284271247,-1.9352344118,0.5139038698,0.5139038698,0.9923647611179559j
81,-1.9310318904,4.0500000000,-1.9134035697,0.2469570920,0.2469570920,0.47688202020629117j,2.8637824638,-1.9134035697,0.4939141840,0.4939141840,0.9537640404125823j
82,-1.9310318904,4.1000000000,-1.8919550817,0.2372543414,0.2372543414,0.4581456994557522j,2.8991378029,-1.8919550817,0.4745086829,0.4745086829,0.9162913989115044j
83,-1.9310318904,4.1500000000,-1.8708842904,0.2278411805,0.2278411805,0.43996858545675993j,2.9344931419,-1.8708842904,0.4556823610,0.4556823610,0.8799371709135199j
84,-1.9310318904,4.2000000000,-1.8501861985,0.2187146172,0.2187146172,0.42234490074047754j,2.9698484810,-1.8501861985,0.4374292344,0.4374292344,0.8446898014809551j
85,-1.9310318904,4.2500000000,-1.8298580694,0.2098731877,0.2098731877,0.4052718184447452j,3.0052038200,-1.8298580694,0.4197463755,0.4197463755,0.8105436368894904j
86,-1.9310318904,4.3000000000,-1.8098930695,0.2013120632,0.2013120632,0.3887400139963318j,3.0405591591,-1.8098930695,0.4026241264,0.4026241264,0.7774800279926636j
87,-1.9310318904,4.3500000000,-1.7902868874,0.1930281616,0.1930281616,0.3727435358191149j,3.0759144982,-1.7902868874,0.3860563232,0.3860563232,0.7454870716382298j
88,-1.9310318904,4.4000000000,-1.7710345863,0.1850177304,0.1850177304,0.3572751376757583j,3.1112698372,-1.7710345863,0.3700354608,0.3700354608,0.7145502753515166j
89,-1.9310318904,4.4500000000,-1.7521295608,0.1772755500,0.1772755500,0.3423247403347702j,3.1466251763,-1.7521295608,0.3545510999,0.3545510999,0.6846494806695403j
90,-1.9310318904,4.5000000000,-1.7335676510,0.1697981215,0.1697981215,0.3278855874441879j,3.1819805153,-1.7335676510,0.3395962429,0.3395962429,0.6557711748883758j
91,-1.9310318904,4.5500000000,-1.7153420918,0.1625797788,0.1625797788,0.31394673761390063j,3.2173358544,-1.7153420918,0.3251595576,0.3251595576,0.6278934752278013j
92,-1.9310318904,4.6000000000,-1.6974469489,0.1556153541,0.1556153541,0.30049821135148247j,3.2526911935,-1.6974469489,0.3112307082,0.3112307082,0.6009964227029649j
93,-1.9310318904,4.6500000000,-1.6798775439,0.1489005065,0.1489005065,0.2875316265080192j,3.2880465325,-1.6798775439,0.2978010130,0.2978010130,0.5750632530160384j
94,-1.9310318904,4.7000000000,-1.6626264395,0.1424286604,0.1424286604,0.27503428528712626j,3.3234018716,-1.6626264395,0.2848573208,0.2848573208,0.5500685705742525j
95,-1.9310318904,4.7500000000,-1.6456885626,0.1361949374,0.1361949374,0.26299676744402667j,3.3587572106,-1.6456885626,0.2723898748,0.2723898748,0.5259935348880533j
96,-1.9310318904,4.8000000000,-1.6290577937,0.1301935597,0.1301935597,0.251407915606028j,3.3941125497,-1.6290577937,0.2603871193,0.2603871193,0.502815831212056j
97,-1.9310318904,4.8500000000,-1.6127273552,0.1244181697,0.1244181697,0.24025545349297134j,3.4294678888,-1.6127273552,0.2488363395,0.2488363395,0.4805109069859427j
98,-1.9310318904,4.9000000000,-1.5966926974,0.1188640042,0.1188640042,0.22953018273139272j,3.4648232278,-1.5966926974,0.2377280084,0.2377280084,0.45906036546278545j
99,-1.9310318904,4.9500000000,-1.5809465430,0.1135241923,0.1135241923,0.21921883566148967j,3.5001785669,-1.5809465430,0.2270483846,0.2270483846,0.43843767132297934j
100,-1.9310318904,5.0000000000,-1.5654832485,0.1083930315,0.1083930315,0.20931040053400998j,3.5355339059,-1.5654832485,0.2167860630,0.2167860630,0.41862080106801997j
101,-1.9310318904,5.0500000000,-1.5502975635,0.1034650544,0.1034650544,0.1997943195835953j,3.5708892450,-1.5502975635,0.2069301088,0.2069301088,0.3995886391671906j
102,-1.9310318904,5.1000000000,-1.5353825674,0.0987335408,0.0987335408,0.19065761590163077j,3.6062445841,-1.5353825674,0.1974670816,0.1974670816,0.38131523180326155j
103,-1.9310318904,5.1500000000,-1.5207334297,0.0941932630,0.0941932630,0.1818901946879161j,3.6415999231,-1.5207334297,0.1883865260,0.1883865260,0.3637803893758322j
104,-1.9310318904,5.2000000000,-1.5063439719,0.0898380011,0.0898380011,0.17348004514069984j,3.6769552622,-1.5063439719,0.1796760023,0.1796760023,0.3469600902813997j
105,-1.9310318904,5.2500000000,-1.4922081306,0.0856616214,0.0856616214,0.1654153227914469j,3.7123106012,-1.4922081306,0.1713232429,0.1713232429,0.3308306455828938j
106,-1.9310318904,5.3000000000,-1.4783216044,0.0816592212,0.0816592212,0.15768656031707448j,3.7476659403,-1.4783216044,0.1633184424,0.1633184424,0.31537312063414896j
107,-1.9310318904,5.3500000000,-1.4646776142,0.0778241776,0.0778241776,0.15028096874315625j,3.7830212793,-1.4646776142,0.1556483552,0.1556483552,0.3005619374863125j
108,-1.9310318904,5.4000000000,-1.4512713171,0.0741512306,0.0741512306,0.14318839097986696j,3.8183766184,-1.4512713171,0.1483024612,0.1483024612,0.28637678195973393j
109,-1.9310318904,5.4500000000,-1.4380976411,0.0706349745,0.0706349745,0.1363983883441704j,3.8537319575,-1.4380976411,0.1412699490,0.1412699490,0.2727967766883408j
110,-1.9310318904,5.5000000000,-1.4251506551,0.0672694617,0.0672694617,0.12989947586956085j,3.8890872965,-1.4251506551,0.1345389235,0.1345389235,0.2597989517391217j
111,-1.9310318904,5.5500000000,-1.4124262119,0.0640499617,0.0640499617,0.12368251858490222j,3.9244426356,-1.4124262119,0.1280999234,0.1280999234,0.24736503716980443j
112,-1.9310318904,5.6000000000,-1.3999186249,0.0609707693,0.0609707693,0.11773649981515798j,3.9597979746,-1.3999186249,0.1219415385,0.1219415385,0.23547299963031595j
113,-1.9310318904,5.6500000000,-1.3876229446,0.0580267141,0.0580267141,0.11205143549889761j,3.9951533137,-1.3876229446,0.1160534283,0.1160534283,0.22410287099779522j
114,-1.9310318904,5.7000000000,-1.3755351403,0.0552132486,0.0552132486,0.10661854380034304j,4.0305086528,-1.3755351403,0.1104264972,0.1104264972,0.21323708760068608j
115,-1.9310318904,5.7500000000,-1.3636495818,0.0525248769,0.0525248769,0.1014272122719345j,4.0658639918,-1.3636495818,0.1050497537,0.1050497537,0.202854424543869j
116,-1.9310318904,5.8000000000,-1.3519622707,0.0499571761,0.0499571761,0.09646890011598211j,4.1012193309,-1.3519622707,0.0999143521,0.0999143521,0.19293780023196422j
117,-1.9310318904,5.8500000000,-1.3404686378,0.0475054271,0.0475054271,0.09173449475644353j,4.1365746699,-1.3404686378,0.0950108543,0.0950108543,0.18346898951288707j
118,-1.9310318904,5.9000000000,-1.3291638290,0.0451648144,0.0451648144,0.08721469695964944j,4.1719300090,-1.3291638290,0.0903296288,0.0903296288,0.17442939391929888j
119,-1.9310318904,5.9500000000,-1.3180444846,0.0429314590,0.0429314590,0.08290201643449643j,4.2072853481,-1.3180444846,0.0858629180,0.0858629180,0.16580403286899287j
120,-1.9310318904,6.0000000000,-1.3071056030,0.0408005986,0.0408005986,0.07878725705156245j,4.2426406871,-1.3071056030,0.0816011972,0.0816011972,0.1575745141031249j
121,-1.9310318904,6.0500000000,-1.2963433121,0.0387681949,0.0387681949,0.0748626207310411j,4.2779960262,-1.2963433121,0.0775363898,0.0775363898,0.1497252414620822j
122,-1.9310318904,6.1000000000,-1.2857540304,0.0368304312,0.0368304312,0.07112073710783727j,4.3133513652,-1.2857540304,0.0736608623,0.0736608623,0.14224147421567454j
123,-1.9310318904,6.1500000000,-1.2753332198,0.0349830450,0.0349830450,0.06755337558686281j,4.3487067043,-1.2753332198,0.0699660901,0.0699660901,0.13510675117372561j
124,-1.9310318904,6.2000000000,-1.2650777011,0.0332225780,0.0332225780,0.06415385766503809j,4.3840620434,-1.2650777011,0.0664451561,0.0664451561,0.12830771533007618j
125,-1.9310318904,6.2500000000,-1.2549834914,0.0315452173,0.0315452173,0.06091482059002943j,4.4194173824,-1.2549834914,0.0630904346,0.0630904346,0.12182964118005886j
126,-1.9310318904,6.3000000000,-1.2450467497,0.0299473087,0.0299473087,0.057829208118317744j,4.4547727215,-1.2450467497,0.0598946174,0.0598946174,0.11565841623663549j
127,-1.9310318904,6.3500000000,-1.2352647475,0.0284258236,0.0284258236,0.05489117188024727j,4.4901280605,-1.2352647475,0.0568516472,0.0568516472,0.10978234376049455j
128,-1.9310318904,6.4000000000,-1.2256332717,0.0269770756,0.0269770756,0.05209359328404434j,4.5254833996,-1.2256332717,0.0539541512,0.0539541512,0.10418718656808867j
129,-1.9310318904,6.4500000000,-1.2161493425,0.0255980584,0.0255980584,0.04943066706980653j,4.5608387387,-1.2161493425,0.0511961168,0.0511961168,0.09886133413961307j
130,-1.9310318904,6.5000000000,-1.2068098509,0.0242857693,0.0242857693,0.046896595037334496j,4.5961940777,-1.2068098509,0.0485715386,0.0485715386,0.09379319007466899j
131,-1.9310318904,6.5500000000,-1.1976111940,0.0230370577,0.0230370577,0.04448529306862236j,4.6315494168,-1.1976111940,0.0460741154,0.0460741154,0.08897058613724472j
