,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-5.7197869743,0.0000000000,-11.5313445777,2.3000000000,2.3000000000,13.155510041004618j,0.0000000000,-11.5313445777,4.6000000000,4.6000000000,26.311020082009236j
1,-5.7197869743,0.0500000000,-11.5291380481,2.2994995778,2.2994995778,13.152647732586077j,0.0353553391,-11.5291380481,4.5989991556,4.5989991556,26.305295465172154j
2,-5.7197869743,0.1000000000,-11.5225291344,2.2980000128,2.2980000128,13.144070540387181j,0.0707106781,-11.5225291344,4.5960000256,4.5960000256,26.288141080774363j
3,-5.7197869743,0.1500000000,-11.5115281643,2.2955014949,2.2955014949,13.12977954989389j,0.1060660172,-11.5115281643,4.5910029897,4.5910029897,26.25955909978778j
4,-5.7197869743,0.2000000000,-11.4961506251,2.2920039525,2.2920039525,13.109774352603218j,0.1414213562,-11.4961506251,4.5840079050,4.5840079050,26.219548705206435j
5,-5.7197869743,0.2500000000,-11.4764168394,2.2875069734,2.2875069734,13.084052590472268j,0.1767766953,-11.4764168394,4.5750139469,4.5750139469,26.168105180944536j
6,-5.7197869743,0.3000000000,-11.4523631027,2.2820123849,2.2820123849,13.05262471426413j,0.2121320344,-11.4523631027,4.5640247697,4.5640247697,26.10524942852826j
7,-5.7197869743,0.3500000000,-11.4240269695,2.2755209003,2.2755209003,13.015494805443959j,0.2474873734,-11.4240269695,4.5510418006,4.5510418006,26.030989610887918j
8,-5.7197869743,0.4000000000,-11.3914494012,2.2680325988,2.2680325988,12.972663316000713j,0.2828427125,-11.3914494012,4.5360651976,4.5360651976,25.945326632001425j
9,-5.7197869743,0.4500000000,-11.3546810050,2.2595484012,2.2595484012,12.924135513337266j,0.3181980515,-11.3546810050,4.5190968025,4.5190968025,25.84827102667453j
10,-5.7197869743,0.5000000000,-11.3137827790,2.2500703218,2.2500703218,12.869922917747697j,0.3535533906,-11.3137827790,4.5001406435,4.5001406435,25.739845835495395j
11,-5.7197869743,0.5500000000,-11.2688184733,2.2395996829,2.2395996829,12.81003309426158j,0.3889087297,-11.2688184733,4.4791993659,4.4791993659,25.62006618852316j
12,-5.7197869743,0.6000000000,-11.2198535536,2.2281368323,2.2281368323,12.74446803061018j,0.4242640687,-11.2198535536,4.4562736647,4.4562736647,25.48893606122036j
13,-5.7197869743,0.6500000000,-11.1669671943,2.2156841643,2.2156841643,12.673241422353067j,0.4596194078,-11.1669671943,4.4313683286,4.4313683286,25.346482844706134j
14,-5.7197869743,0.7000000000,-11.1102435572,2.2022440676,2.2022440676,12.59636693193195j,0.4949747468,-11.1102435572,4.4044881351,4.4044881351,25.1927338638639j
15,-5.7197869743,0.7500000000,-11.0497708046,2.1878187087,2.1878187087,12.513856952040914j,0.5303300859,-11.0497708046,4.3756374173,4.3756374173,25.02771390408183j
16,-5.7197869743,0.8000000000,-10.9856372934,2.1724090059,2.1724090059,12.425716735100439j,0.5656854249,-10.9856372934,4.3448180119,4.3448180119,24.851433470200877j
17,-5.7197869743,0.8500000000,-10.9179480539,2.1560191743,2.1560191743,12.331970389496096j,0.6010407640,-10.9179480539,4.3120383486,4.3120383486,24.663940778992192j
18,-5.7197869743,0.9000000000,-10.8468082372,2.1386524176,2.1386524176,12.232636240832331j,0.6363961031,-10.8468082372,4.2773048352,4.2773048352,24.465272481664663j
19,-5.7197869743,0.9500000000,-10.7723268803,2.1203119754,2.1203119754,12.127732818342714j,0.6717514421,-10.7723268803,4.2406239508,4.2406239508,24.25546563668543j
20,-5.7197869743,1.0000000000,-10.6946159062,2.1010008740,2.1010008740,12.017277432018536j,0.7071067812,-10.6946159062,4.2020017479,4.2020017479,24.034554864037073j
21,-5.7197869743,1.0500000000,-10.6137995377,2.0807249732,2.0807249732,11.901303598787177j,0.7424621202,-10.6137995377,4.1614499464,4.1614499464,23.802607197574353j
22,-5.7197869743,1.1000000000,-10.5300020535,2.0594894634,2.0594894634,11.779841006616293j,0.7778174593,-10.5300020535,4.1189789268,4.1189789268,23.559682013232585j
23,-5.7197869743,1.1500000000,-10.4433501045,2.0372995963,2.0372995963,11.652919693950054j,0.8131727984,-10.4433501045,4.0745991927,4.0745991927,23.305839387900107j
24,-5.7197869743,1.2000000000,-10.3539758869,2.0141618894,2.0141618894,11.520576939073216j,0.8485281374,-10.3539758869,4.0283237787,4.0283237787,23.04115387814643j
25,-5.7197869743,1.2500000000,-10.2620183847,1.9900849201,1.9900849201,11.38286180395862j,0.8838834765,-10.2620183847,3.9801698402,3.9801698402,22.76572360791724j
26,-5.7197869743,1.3000000000,-10.1676173225,1.9650774313,1.9650774313,11.239824295331344j,0.9192388155,-10.1676173225,3.9301548627,3.9301548627,22.479648590662688j
27,-5.7197869743,1.3500000000,-10.0709132188,1.9391483828,1.9391483828,11.091515661274626j,0.9545941546,-10.0709132188,3.8782967656,3.8782967656,22.18303132254925j
28,-5.7197869743,1.4000000000,-9.9720532938,1.9123095919,1.9123095919,10.938003494867605j,0.9899494937,-9.9720532938,3.8246191839,3.8246191839,21.87600698973521j
29,-5.7197869743,1.4500000000,-9.8711869766,1.8845743900,1.8845743900,10.77936404835654j,1.0253048327,-9.8711869766,3.7691487801,3.7691487801,21.55872809671308j
