,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-1.6959979020,0.0000000000,-3.3999299349,1.1000000000,1.1000000000,1.86559769222699j,0.0000000000,-3.3999299349,2.2000000000,2.2000000000,3.73119538445398j
1,-1.6959979020,0.0500000000,-3.3994255222,1.0997734909,1.0997734909,1.8652135332001374j,0.0353553391,-3.3994255222,2.1995469817,2.1995469817,3.7304270664002748j
2,-1.6959979020,0.1000000000,-3.3979136748,1.0990944302,1.0990944302,1.864061847689631j,0.0707106781,-3.3979136748,2.1981888603,2.1981888603,3.728123695379262j
3,-1.6959979020,0.1500000000,-3.3953966321,1.0979633521,1.0979633521,1.8621435417262318j,0.1060660172,-3.3953966321,2.1959267043,2.1959267043,3.7242870834524635j
4,-1.6959979020,0.2000000000,-3.3918781199,1.0963811480,1.0963811480,1.8594601267865312j,0.1414213562,-3.3918781199,2.1927622960,2.1927622960,3.7189202535730623j
5,-1.6959979020,0.2500000000,-3.3873633412,1.0943490675,1.0943490675,1.856013722491562j,0.1767766953,-3.3873633412,2.1886981349,2.1886981349,3.712027444983124j
6,-1.6959979020,0.3000000000,-3.3818589633,1.0918687211,1.0918687211,1.8518070603426535j,0.2121320344,-3.3818589633,2.1837374423,2.1837374423,3.703614120685307j
7,-1.6959979020,0.3500000000,-3.3753731026,1.0889420832,1.0889420832,1.8468434884527796j,0.2474873734,-3.3753731026,2.1778841663,2.1778841663,3.693686976905559j
8,-1.6959979020,0.4000000000,-3.3679153039,1.0855714945,1.0855714945,1.8411269772194316j,0.2828427125,-3.3679153039,2.1711429891,2.1711429891,3.6822539544388633j
9,-1.6959979020,0.4500000000,-3.3594965184,1.0817596671,1.0817596671,1.834662125872545j,0.3181980515,-3.3594965184,2.1635193342,2.1635193342,3.66932425174509j
10,-1.6959979020,0.5000000000,-3.3501290767,1.0775096877,1.0775096877,1.8274541698183089j,0.3535533906,-3.3501290767,2.1550193755,2.1550193755,3.6549083396366178j
11,-1.6959979020,0.5500000000,-3.3398266590,1.0728250233,1.0728250233,1.819508988686711j,0.3889087297,-3.3398266590,2.1456500465,2.1456500465,3.639017977373422j
12,-1.6959979020,0.6000000000,-3.3286042620,1.0677095254,1.0677095254,1.8108331149774788j,0.4242640687,-3.3286042620,2.1354190507,2.1354190507,3.6216662299549576j
13,-1.6959979020,0.6500000000,-3.3164781626,1.0621674361,1.0621674361,1.8014337431857332j,0.4596194078,-3.3164781626,2.1243348722,2.1243348722,3.6028674863714665j
14,-1.6959979020,0.7000000000,-3.3034658785,1.0562033934,1.0562033934,1.7913187392751584j,0.4949747468,-3.3034658785,2.1124067867,2.1124067867,3.582637478550317j
15,-1.6959979020,0.7500000000,-3.2895861249,1.0498224368,1.0498224368,1.780496650353039j,0.5303300859,-3.2895861249,2.0996448736,2.0996448736,3.560993300706078j
16,-1.6959979020,0.8000000000,-3.2748587700,1.0430300133,1.0430300133,1.7689767143880113j,0.5656854249,-3.2748587700,2.0860600267,2.0860600267,3.5379534287760226j
17,-1.6959979020,0.8500000000,-3.2593047854,1.0358319829,1.0358319829,1.7567688697984936j,0.6010407640,-3.2593047854,2.0716639657,2.0716639657,3.513537739596987j
18,-1.6959979020,0.9000000000,-3.2429461958,1.0282346238,1.0282346238,1.7438837647267247j,0.6363961031,-3.2429461958,2.0564692476,2.0564692476,3.4877675294534494j
19,-1.6959979020,0.9500000000,-3.2258060245,1.0202446381,1.0202446381,1.7303327658015346j,0.6717514421,-3.2258060245,2.0404892762,2.0404892762,3.4606655316030692j
20,-1.6959979020,1.0000000000,-3.2079082374,1.0118691563,1.0118691563,1.716127966181876j,0.7071067812,-3.2079082374,2.0237383126,2.0237383126,3.432255932363752j
21,-1.6959979020,1.0500000000,-3.1892776843,1.0031157413,1.0031157413,1.7012821926625776j,0.7424621202,-3.1892776843,2.0062314825,2.0062314825,3.4025643853251553j
22,-1.6959979020,1.1000000000,-3.1699400376,0.9939923921,0.9939923921,1.6858090116161817j,0.7778174593,-3.1699400376,1.9879847842,1.9879847842,3.3716180232323634j
23,-1.6959979020,1.1500000000,-3.1499217303,0.9845075466,0.9845075466,1.6697227335362996j,0.8131727984,-3.1499217303,1.9690150932,1.9690150932,3.3394454670725993j
