,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-3.7109787583,0.0000000000,-7.4773409024,1.8000000000,1.8000000000,6.679761764934956j,0.0000000000,-7.4773409024,3.6000000000,3.6000000000,13.359523529869913j
1,-3.7109787583,0.0500000000,-7.4759899003,1.7996048932,1.7996048932,6.678295531843936j,0.0353553391,-7.4759899003,3.5992097863,3.5992097863,13.356591063687873j
2,-3.7109787583,0.1000000000,-7.4719417030,1.7984204748,1.7984204748,6.673900180330096j,0.0707106781,-7.4719417030,3.5968409495,3.5968409495,13.347800360660193j
3,-3.7109787583,0.1500000000,-7.4652027017,1.7964471050,1.7964471050,6.66657704705689j,0.1060660172,-7.4652027017,3.5928942100,3.5928942100,13.33315409411378j
4,-3.7109787583,0.2000000000,-7.4557835300,1.7936853874,1.7936853874,6.656328371743084j,0.1414213562,-7.4557835300,3.5873707748,3.5873707748,13.312656743486167j
5,-3.7109787583,0.2500000000,-7.4436990440,1.7901361741,1.7901361741,6.64315731656852j,0.1767766953,-7.4436990440,3.5802723482,3.5802723482,13.28631463313704j
6,-3.7109787583,0.3000000000,-7.4289682930,1.7858005732,1.7858005732,6.627067993639368j,0.2121320344,-7.4289682930,3.5716011464,3.5716011464,13.254135987278737j
7,-3.7109787583,0.3500000000,-7.4116144828,1.7806799584,1.7806799584,6.608065500810192j,0.2474873734,-7.4116144828,3.5613599167,3.5613599167,13.216131001620385j
8,-3.7109787583,0.4000000000,-7.3916649303,1.7747759810,1.7747759810,6.586155966234142j,0.2828427125,-7.3916649303,3.5495519620,3.5495519620,13.172311932468284j
9,-3.7109787583,0.4500000000,-7.3691498125,1.7680902155,1.7680902155,6.561345232500654j,0.3181980515,-7.3691498125,3.5361804310,3.5361804310,13.122690465001307j
10,-3.7109787583,0.5000000000,-7.3441044479,1.7606248844,1.7606248844,6.533641547254787j,0.3535533906,-7.3441044479,3.5212497688,3.5212497688,13.067283094509573j
11,-3.7109787583,0.5500000000,-7.3165694716,1.7523829746,1.7523829746,6.503055994971348j,0.3889087297,-7.3165694716,3.5047659491,3.5047659491,13.006111989942696j
12,-3.7109787583,0.6000000000,-7.2865880390,1.7433674206,1.7433674206,6.4695994657155085j,0.4242640687,-7.2865880390,3.4867348412,3.4867348412,12.939198931431017j
13,-3.7109787583,0.6500000000,-7.2542070657,1.7335815347,1.7335815347,6.433284250883165j,0.4596194078,-7.2542070657,3.4671630693,3.4671630693,12.86656850176633j
14,-3.7109787583,0.7000000000,-7.2194771325,1.7230290355,1.7230290355,6.394124150762065j,0.4949747468,-7.2194771325,3.4460580710,3.4460580710,12.78824830152413j
15,-3.7109787583,0.7500000000,-7.1824523816,1.7117140809,1.7117140809,6.352134594482566j,0.5303300859,-7.1824523816,3.4234281618,3.4234281618,12.704269188965132j
16,-3.7109787583,0.8000000000,-7.1431904045,1.6996413032,1.6996413032,6.307332772809604j,0.5656854249,-7.1431904045,3.3992826064,3.3992826064,12.614665545619207j
17,-3.7109787583,0.8500000000,-7.1017521216,1.6868158488,1.6868158488,6.259737784133103j,0.6010407640,-7.1017521216,3.3736316976,3.3736316976,12.519475568266206j
18,-3.7109787583,0.9000000000,-7.0581997164,1.6732427197,1.6732427197,6.209368190199579j,0.6363961031,-7.0581997164,3.3464854394,3.3464854394,12.418736380399158j
19,-3.7109787583,0.9500000000,-7.0126023565,1.6589289058,1.6589289058,6.1562499308937415j,0.6717514421,-7.0126023565,3.3178578116,3.3178578116,12.312499861787483j
20,-3.7109787583,1.0000000000,-6.9650302411,1.6438814027,1.6438814027,6.100408966725796j,0.7071067812,-6.9650302411,3.2877628055,3.2877628055,12.200817933451592j
21,-3.7109787583,1.0500000000,-6.9155562388,1.6281078813,1.6281078813,6.041873763679019j,0.7424621202,-6.9155562388,3.2562157626,3.2562157626,12.083747527358039j
22,-3.7109787583,1.1000000000,-6.8642558164,1.6116167770,1.6116167770,5.98067562578505j,0.7778174593,-6.8642558164,3.2232335539,3.2232335539,11.9613512515701j
23,-3.7109787583,1.1500000000,-6.8112068680,1.5944173501,1.5944173501,5.916848918168662j,0.8131727984,-6.8112068680,3.1888347002,3.1888347002,11.833697836337324j
24,-3.7109787583,1.2000000000,-6.7564895356,1.5765197489,1.5765197489,5.850431300141202j,0.8485281374,-6.7564895356,3.1530394978,3.1530394978,11.700862600282404j
25,-3.7109787583,1.2500000000,-6.7001860215,1.5579350741,1.5579350741,5.781463966631429j,0.8838834765,-6.7001860215,3.1158701481,3.1158701481,11.562927933262857j
26,-3.7109787583,1.3000000000,-6.6423797843,1.5386751614,1.5386751614,5.709990839735131j,0.9192388155,-6.6423797843,3.0773503227,3.0773503227,11.419981679470261j
27,-3.7109787583,1.3500000000,-6.5831564938,1.5187531524,1.5187531524,5.636060687473074j,0.9545941546,-6.5831564938,3.0375063047,3.0375063047,11.272121374946147j
28,-3.7109787583,1.4000000000,-6.5226041787,1.4981837919,1.4981837919,5.559728227794135j,0.9899494937,-6.5226041787,2.9963675838,2.9963675838,11.11945645558827j
29,-3.7109787583,1.4500000000,-6.4608112590,1.4769826687,1.4769826687,5.48105130985318j,1.0253048327,-6.4608112590,2.9539653374,2.9539653374,10.96210261970636j
30,-3.7109787583,1.5000000000,-6.3978671655,1.4551666590,1.4551666590,5.40009256128744j,1.0606601718,-6.3978671655,2.9103333180,2.9103333180,10.80018512257488j
31,-3.7109787583,1.5500000000,-6.3338621104,1.4327539890,1.4327539890,5.316919619047367j,1.0960155108,-6.3338621104,2.8655079780,2.8655079780,10.633839238094733j
32,-3.7109787583,1.6000000000,-6.2688868526,1.4097642926,1.4097642926,5.231605344218037j,1.1313708499,-6.2688868526,2.8195285853,2.8195285853,10.463210688436074j
33,-3.7109787583,1.6500000000,-6.2030324589,1.3862186638,1.3862186638,5.144228015651078j,1.1667261890,-6.2030324589,2.7724373276,2.7724373276,10.288456031302156j
34,-3.7109787583,1.7000000000,-6.1363900611,1.3621397012,1.3621397012,5.0548714970666495j,1.2020815280,-6.1363900611,2.7242794024,2.7242794024,10.109742994133299j
35,-3.7109787583,1.7500000000,-6.0690500637,1.3375511083,1.3375511083,4.963623751136767j,1.2374368671,-6.0690500637,2.6751022167,2.6751022167,9.927247502273534j
36,-3.7109787583,1.8000000000,-6.0011036571,1.3124790397,1.3124790397,4.870581837009724j,1.2727922061,-6.0011036571,2.6249580794,2.6249580794,9.741163674019448j
37,-3.7109787583,1.8500000000,-5.9326407488,1.2869508342,1.2869508342,4.775847208776317j,1.3081475452,-5.9326407488,2.5739016684,2.5739016684,9.551694417552634j
38,-3.7109787583,1.9000000000,-5.8637502621,1.2609953697,1.2609953697,4.6795270313159785j,1.3435028843,-5.8637502621,2.5219907394,2.5219907394,9.359054062631957j
39,-3.7109787583,1.9500000000,-5.7945199531,1.2346430940,1.2346430940,4.581734296067345j,1.3788582233,-5.7945199531,2.4692861881,2.4692861881,9.16346859213469j
40,-3.7109787583,2.0000000000,-5.7250361688,1.2079259962,1.2079259962,4.482587713536086j,1.4142135624,-5.7250361688,2.4158519924,2.4158519924,8.965175427072172j
41,-3.7109787583,2.0500000000,-5.6553836111,1.1808775606,1.1808775606,4.382211543521834j,1.4495689014,-5.6553836111,2.3617551212,2.3617551212,8.764423087043667j
42,-3.7109787583,2.1000000000,-5.5856451066,1.1535327036,1.1535327036,4.280735360019099j,1.4849242405,-5.5856451066,2.3070654072,2.3070654072,8.561470720038198j
43,-3.7109787583,2.1500000000,-5.5159014134,1.1259276061,1.1259276061,4.178293429598437j,1.5202795796,-5.5159014134,2.2518552122,2.2518552122,8.356586859196874j
44,-3.7109787583,2.2000000000,-5.4462310735,1.0980997909,1.0980997909,4.075024998546026j,1.5556349186,-5.4462310735,2.1961995818,2.1961995818,8.150049997092053j
45,-3.7109787583,2.2500000000,-5.3767099923,1.0700880683,1.0700880683,3.971074091085515j,1.5909902577,-5.3767099923,2.1401761367,2.1401761367,7.94214818217103j
46,-3.7109787583,2.3000000000,-5.3074113717,1.0419320867,1.0419320867,3.8665878412677332j,1.6263455967,-5.3074113717,2.0838641734,2.0838641734,7.7331756825354665j
47,-3.7109787583,2.3500000000,-5.2384055401,1.0136723363,1.0136723363,3.7617165079579378j,1.6617009358,-5.2384055401,2.0273446726,2.0273446726,7.5234330159158755j
48,-3.7109787583,2.4000000000,-5.1697597930,0.9853499803,0.9853499803,3.6566128463619614j,1.6970562748,-5.1697597930,1.9706999606,1.9706999606,7.313225692723923j
49,-3.7109787583,2.4500000000,-5.1015382511,0.9570066706,0.9570066706,3.5514314260883957j,1.7324116139,-5.1015382511,1.9140133412,1.9140133412,7.102862852176791j
