,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-3.3679863000,0.0000000000,-6.7840185824,1.7000000000,1.7000000000,5.725576709971912j,0.0000000000,-6.7840185824,3.4000000000,3.4000000000,11.451153419943823j
1,-3.3679863000,0.0500000000,-6.7828142737,1.6996273120,1.6996273120,5.724321501837121j,0.0353553391,-6.7828142737,3.3992546240,3.3992546240,11.448643003674242j
2,-3.3679863000,0.1000000000,-6.7792038651,1.6985095732,1.6985095732,5.7205569729160635j,0.0707106781,-6.7792038651,3.3970191464,3.3970191464,11.441113945832127j
3,-3.3679863000,0.1500000000,-6.7731930531,1.6966471877,1.6966471877,5.7142844840911255j,0.1060660172,-6.7731930531,3.3932943754,3.3932943754,11.428568968182251j
4,-3.3679863000,0.2000000000,-6.7647913179,1.6940408324,1.6940408324,5.705506315084281j,0.1414213562,-6.7647913179,3.3880816648,3.3880816648,11.411012630168562j
5,-3.3679863000,0.2500000000,-6.7540119052,1.6906914622,1.6906914622,5.694225682272282j,0.1767766953,-6.7540119052,3.3813829244,3.3813829244,11.388451364544563j
6,-3.3679863000,0.3000000000,-6.7408717989,1.6866003178,1.6866003178,5.68044676380852j,0.2121320344,-6.7408717989,3.3732006355,3.3732006355,11.36089352761704j
7,-3.3679863000,0.3500000000,-6.7253916874,1.6817689348,1.6817689348,5.664174732227149j,0.2474873734,-6.7253916874,3.3635378696,3.3635378696,11.328349464454298j
8,-3.3679863000,0.4000000000,-6.7075959215,1.6761991564,1.6761991564,5.645415794745331j,0.2828427125,-6.7075959215,3.3523983128,3.3523983128,11.290831589490661j
9,-3.3679863000,0.4500000000,-6.6875124656,1.6698931470,1.6698931470,5.624177241512314j,0.3181980515,-6.6875124656,3.3397862940,3.3397862940,11.248354483024627j
10,-3.3679863000,0.5000000000,-6.6651728400,1.6628534095,1.6628534095,5.6004675020776284j,0.3535533906,-6.6651728400,3.3257068190,3.3257068190,11.200935004155257j
11,-3.3679863000,0.5500000000,-6.6406120569,1.6550828043,1.6550828043,5.5742962103629585j,0.3889087297,-6.6406120569,3.3101656087,3.3101656087,11.148592420725917j
12,-3.3679863000,0.6000000000,-6.6138685479,1.6465845715,1.6465845715,5.545674278421728j,0.4242640687,-6.6138685479,3.2931691429,3.2931691429,11.091348556843457j
13,-3.3679863000,0.6500000000,-6.5849840839,1.6373623549,1.6373623549,5.514613979254718j,0.4596194078,-6.5849840839,3.2747247097,3.2747247097,11.029227958509436j
14,-3.3679863000,0.7000000000,-6.5540036877,1.6274202300,1.6274202300,5.481129038917562j,0.4949747468,-6.5540036877,3.2548404600,3.2548404600,10.962258077835124j
15,-3.3679863000,0.7500000000,-6.5209755388,1.6167627339,1.6167627339,5.445234738104702j,0.5303300859,-6.5209755388,3.2335254678,3.2335254678,10.890469476209404j
16,-3.3679863000,0.8000000000,-6.4859508703,1.6053948982,1.6053948982,5.40694802332256j,0.5656854249,-6.4859508703,3.2107897965,3.2107897965,10.81389604664512j
17,-3.3679863000,0.8500000000,-6.4489838587,1.5933222851,1.5933222851,5.366287627670395j,0.6010407640,-6.4489838587,3.1866445702,3.1866445702,10.73257525534079j
18,-3.3679863000,0.9000000000,-6.4101315050,1.5805510257,1.5805510257,5.323274201130316j,0.6363961031,-6.4101315050,3.1611020515,3.1611020515,10.646548402260631j
19,-3.3679863000,0.9500000000,-6.3694535099,1.5670878620,1.5670878620,5.277930450124961j,0.6717514421,-6.3694535099,3.1341757240,3.1341757240,10.555860900249922j
20,-3.3679863000,1.0000000000,-6.3270121397,1.5529401904,1.5529401904,5.230281285934539j,0.7071067812,-6.3270121397,3.1058803808,3.1058803808,10.460562571869078j
21,-3.3679863000,1.0500000000,-6.2828720858,1.5381161085,1.5381161085,5.180353981371522j,0.7424621202,-6.2828720858,3.0762322171,3.0762322171,10.360707962743044j
22,-3.3679863000,1.1000000000,-6.2371003168,1.5226244640,1.5226244640,5.1281783348950745j,0.7778174593,-6.2371003168,3.0452489281,3.0452489281,10.256356669790149j
23,-3.3679863000,1.1500000000,-6.1897659228,1.5064749049,1.5064749049,5.073786841105098j,0.8131727984,-6.1897659228,3.0129498099,3.0129498099,10.147573682210195j
