,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-6.6630836695,0.0000000000,-13.4318349824,2.5000000000,2.5000000000,16.6577091737777j,0.0000000000,-13.4318349824,5.0000000000,5.0000000000,33.3154183475554j
1,-6.6630836695,0.0500000000,-13.4292294299,2.4994592807,2.4994592807,16.654106315833378j,0.0353553391,-13.4292294299,4.9989185614,4.9989185614,33.308212631666755j
2,-6.6630836695,0.1000000000,-13.4214207729,2.4978379956,2.4978379956,16.64330355749186j,0.0707106781,-13.4214207729,4.9956759912,4.9956759912,33.28660711498372j
3,-6.6630836695,0.1500000000,-13.4084211618,2.4951363072,2.4951363072,16.62530198158218j,0.1060660172,-13.4084211618,4.9902726144,4.9902726144,33.25060396316436j
4,-6.6630836695,0.2000000000,-13.3902508186,2.4913544858,2.4913544858,16.600103389091746j,0.1414213562,-13.3902508186,4.9827089715,4.9827089715,33.20020677818349j
5,-6.6630836695,0.2500000000,-13.3669380034,2.4864929088,2.4864929088,16.567710295096923j,0.1767766953,-13.3669380034,4.9729858176,4.9729858176,33.135420590193846j
6,-6.6630836695,0.3000000000,-13.3385189669,2.4805520603,2.4805520603,16.528125924441195j,0.2121320344,-13.3385189669,4.9611041206,4.9611041206,33.05625184888239j
7,-6.6630836695,0.3500000000,-13.3050378905,2.4735325303,2.4735325303,16.481354208559285j,0.2474873734,-13.3050378905,4.9470650606,4.9470650606,32.96270841711857j
8,-6.6630836695,0.4000000000,-13.2665466836,2.4654349868,2.4654349868,16.427399598935207j,0.2828427125,-13.2665466836,4.9308699736,4.9308699736,32.85479919787041j
9,-6.6630836695,0.4500000000,-13.2231017139,2.4562594735,2.4562594735,16.366262385781923j,0.3181980515,-13.2231017139,4.9125189469,4.9125189469,32.732524771563845j
10,-6.6630836695,0.5000000000,-13.1747741410,2.4460076906,2.4460076906,16.297953898880014j,0.3535533906,-13.1747741410,4.8920153812,4.8920153812,32.59590779776003j
11,-6.6630836695,0.5500000000,-13.1216390138,2.4346806625,2.4346806625,16.222480962982498j,0.3889087297,-13.1216390138,4.8693613251,4.8693613251,32.444961925964996j
12,-6.6630836695,0.6000000000,-13.0637788093,2.4222795319,2.4222795319,16.139851191705542j,0.4242640687,-13.0637788093,4.8445590637,4.8445590637,32.279702383411085j
13,-6.6630836695,0.6500000000,-13.0012832922,2.4088055686,2.4088055686,16.05007304683789j,0.4596194078,-13.0012832922,4.8176111371,4.8176111371,32.10014609367578j
14,-6.6630836695,0.7000000000,-12.9342493616,2.3942601825,2.3942601825,15.953155922249994j,0.4949747468,-12.9342493616,4.7885203649,4.7885203649,31.90631184449999j
15,-6.6630836695,0.7500000000,-12.8627808844,2.3786449404,2.3786449404,15.849110258001108j,0.5303300859,-12.8627808844,4.7572898808,4.7572898808,31.698220516002216j
16,-6.6630836695,0.8000000000,-12.7869882963,2.3619615335,2.3619615335,15.737947321964588j,0.5656854249,-12.7869882963,4.7239230670,4.7239230670,31.475894643929177j
17,-6.6630836695,0.8500000000,-12.7069861971,2.3442112218,2.3442112218,15.619675510018636j,0.6010407640,-12.7069861971,4.6884224436,4.6884224436,31.239351020037272j
18,-6.6630836695,0.9000000000,-12.6229012880,2.3253969600,2.3253969600,15.49431450943038j,0.6363961031,-12.6229012880,4.6507939200,4.6507939200,30.98862901886076j
19,-6.6630836695,0.9500000000,-12.5348633837,2.3055212400,2.3055212400,15.361880924191059j,0.6717514421,-12.5348633837,4.6110424801,4.6110424801,30.723761848382118j
20,-6.6630836695,1.0000000000,-12.4430082287,2.2845869001,2.2845869001,15.222393665540109j,0.7071067812,-12.4430082287,4.5691738002,4.5691738002,30.444787331080217j
21,-6.6630836695,1.0500000000,-12.3474772481,2.2625971913,2.2625971913,15.075874396002972j,0.7424621202,-12.3474772481,4.5251943826,4.5251943826,30.151748792005943j
22,-6.6630836695,1.1000000000,-12.2484172831,2.2395558568,2.2395558568,14.922348056732146j,0.7778174593,-12.2484172831,4.4791117137,4.4791117137,29.84469611346429j
23,-6.6630836695,1.1500000000,-12.1459803117,2.2154672249,2.2154672249,14.761843486399487j,0.8131727984,-12.1459803117,4.4309344497,4.4309344497,29.523686972798973j
24,-6.6630836695,1.2000000000,-12.0403229156,2.1903362355,2.1903362355,14.594393601492948j,0.8485281374,-12.0403229156,4.3806724710,4.3806724710,29.188787202985896j
25,-6.6630836695,1.2500000000,-11.9316047449,2.1641681081,2.1641681081,14.420033179408515j,0.8838834765,-11.9316047449,4.3283362163,4.3283362163,28.84006635881703j
26,-6.6630836695,1.3000000000,-11.8199935520,2.1369703480,2.1369703480,14.238812227996608j,0.9192388155,-11.8199935520,4.2739406960,4.2739406960,28.477624455993215j
27,-6.6630836695,1.3500000000,-11.7056587575,2.1087508675,2.1087508675,14.050783468097361j,0.9545941546,-11.7056587575,4.2175017349,4.2175017349,28.101566936194722j
28,-6.6630836695,1.4000000000,-11.5887732761,2.0795188702,2.0795188702,13.856008224579647j,0.9899494937,-11.5887732761,4.1590377404,4.1590377404,27.712016449159293j
29,-6.6630836695,1.4500000000,-11.4695131367,2.0492850446,2.0492850446,13.65455771458821j,1.0253048327,-11.4695131367,4.0985700891,4.0985700891,27.30911542917642j
30,-6.6630836695,1.5000000000,-11.3480570825,2.0180617738,2.0180617738,13.446514448893348j,1.0606601718,-11.3480570825,4.0361235475,4.0361235475,26.893028897786696j
31,-6.6630836695,1.5500000000,-11.2245861525,1.9858633622,1.9858633622,13.231973738315894j,1.0960155108,-11.2245861525,3.9717267243,3.9717267243,26.463947476631787j
32,-6.6630836695,1.6000000000,-11.0992830731,1.9527061775,1.9527061775,13.01104464259161j,1.1313708499,-11.0992830731,3.9054123550,3.9054123550,26.02208928518322j
33,-6.6630836695,1.6500000000,-10.9723313987,1.9186085995,1.9186085995,12.783849627677004j,1.1667261890,-10.9723313987,3.8372171990,3.8372171990,25.567699255354007j
34,-6.6630836695,1.7000000000,-10.8439175537,1.8835928112,1.8835928112,12.550536500581696j,1.2020815280,-10.8439175537,3.7671856225,3.7671856225,25.101073001163392j
35,-6.6630836695,1.7500000000,-10.7142271938,1.8476833044,1.8476833044,12.311268451957407j,1.2374368671,-10.7142271938,3.6953666088,3.6953666088,24.622536903914813j
36,-6.6630836695,1.8000000000,-10.5834458924,1.8109077681,1.8109077681,12.06622997655306j,1.2727922061,-10.5834458924,3.6218155362,3.6218155362,24.13245995310612j
37,-6.6630836695,1.8500000000,-10.4517586125,1.7732973432,1.7732973432,11.81562856858364j,1.3081475452,-10.4517586125,3.5465946864,3.5465946864,23.63125713716728j
38,-6.6630836695,1.9000000000,-10.3193491634,1.7348868629,1.7348868629,11.559696324333215j,1.3435028843,-10.3193491634,3.4697737257,3.4697737257,23.11939264866643j
39,-6.6630836695,1.9500000000,-10.1863996455,1.6957150717,1.6957150717,11.298691402655145j,1.3788582233,-10.1863996455,3.3914301435,3.3914301435,22.59738280531029j
40,-6.6630836695,2.0000000000,-10.0530898612,1.6558247288,1.6558247288,11.032898709952322j,1.4142135624,-10.0530898612,3.3116494576,3.3116494576,22.065797419904644j
41,-6.6630836695,2.0500000000,-9.9195968554,1.6152626459,1.6152626459,10.762630157961597j,1.4495689014,-9.9195968554,3.2305252918,3.2305252918,21.525260315923195j
42,-6.6630836695,2.1000000000,-9.7860944064,1.5740807456,1.5740807456,10.488231710208249j,1.4849242405,-9.7860944064,3.1481614911,3.1481614911,20.976463420416497j
43,-6.6630836695,2.1500000000,-9.6527520711,1.5323349123,1.5323349123,10.210075730381595j,1.5202795796,-9.6527520711,3.0646698246,3.0646698246,20.42015146076319j
44,-6.6630836695,2.2000000000,-9.5197348468,1.4900854352,1.4900854352,9.928563929484106j,1.5556349186,-9.5197348468,2.9801708704,2.9801708704,19.857127858968212j
45,-6.6630836695,2.2500000000,-9.3872026168,1.4473969303,1.4473969303,9.644126849733807j,1.5909902577,-9.3872026168,2.8947938606,2.8947938606,19.288253699467614j
46,-6.6630836695,2.3000000000,-9.2553096148,1.4043381893,1.4043381893,9.357222855691269j,1.6263455967,-9.2553096148,2.8086763786,2.8086763786,18.714445711382538j
47,-6.6630836695,2.3500000000,-9.1242039129,1.3609819501,1.3609819501,9.0683366059068j,1.6617009358,-9.1242039129,2.7219639001,2.7219639001,18.1366732118136j
48,-6.6630836695,2.4000000000,-8.9940271045,1.3174045651,1.3174045651,8.777976843974441j,1.6970562748,-8.9940271045,2.6348091302,2.6348091302,17.555953687948882j
49,-6.6630836695,2.4500000000,-8.8649141183,1.2736856692,1.2736856692,8.486674182863455j,1.7324116139,-8.8649141183,2.5473713385,2.5473713385,16.97334836572691j
50,-6.6630836695,2.5000000000,-8.7369912199,1.2299078031,1.2299078031,8.194978597903429j,1.7677669530,-8.7369912199,2.4598156062,2.4598156062,16.389957195806858j
51,-6.6630836695,2.5500000000,-8.6103773807,1.1861556114,1.1861556114,7.903454083863386j,1.8031222920,-8.6103773807,2.3723112228,2.3723112228,15.806908167726773j
52,-6.6630836695,2.6000000000,-8.4851834150,1.1425153700,1.1425153700,7.6126755041842555j,1.8384776311,-8.4851834150,2.2850307401,2.2850307401,15.225351008368511j
53,-6.6630836695,2.6500000000,-8.3615117331,1.0990743234,1.0990743234,7.3232241756291945j,1.8738329701,-8.3615117331,2.1981486467,2.1981486467,14.646448351258389j
54,-6.6630836695,2.7000000000,-8.2394561552,1.0559199771,1.0559199771,7.035683155613933j,1.9091883092,-8.2394561552,2.1118399542,2.1118399542,14.071366311227866j
55,-6.6630836695,2.7500000000,-8.1191017879,1.0131393595,1.0131393595,6.750632321537004j,1.9445436483,-8.1191017879,2.0262787191,2.0262787191,13.501264643074007j
56,-6.6630836695,2.8000000000,-8.0005253016,0.9708183657,0.9708183657,6.468643998808823j,1.9798989873,-8.0005253016,1.9416367315,1.9416367315,12.937287997617647j
57,-6.6630836695,2.8500000000,-7.8837950500,0.9290410949,0.9290410949,6.190278547529687j,2.0152543264,-7.8837950500,1.8580821897,1.8580821897,12.380557095059373j
58,-6.6630836695,2.9000000000,-7.7689688674,0.8878883540,0.8878883540,5.916074392191222j,2.0506096654,-7.7689688674,1.7757767081,1.7757767081,11.832148784382444j
